"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-1EDCA978","DISTRIB","ANNUAL","Species distribution","Geographical range","Aus, Warraber","","","","-1","www.birdsofmelanesia.net","http://www.birdsofmelanesia.net/"
"avibase-1EDCA978","DISTRIB","ANNUAL","Species distribution","Geographical range","Australia (except arid areas) and Tasmania","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-1EDCA978","DISTRIB","ANNUAL","Species distribution","Geographical range","Southern New Guinea, islands in Torres Strait, coasts and interior salt lakes of Australia; Tasmania.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-1EDCA978","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-8.33","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1EDCA978","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-43.64","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1EDCA978","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-27.1","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1EDCA978","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","133.76","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1EDCA978","DISTRIB","MIGRATION","Species distribution","Migration strategy","Partially migratory","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1EDCA978","DISTRIB","RANGE_SIZE","Species distribution","Total range size","4811331.66","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1EDCA978","DISTRIB","REALM","Species distribution","Realm","Australian","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
