"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-EBD8C251","DISTRIB","ANNUAL","Species distribution","Geographical range","Aus, Indon, PNG, Murray, Aru, Batanta, Misool, New Guinea, Salawati, Waigeo, Yapen, Fergusson, Karkar, Mussau, New Guinea, New Hanover, New Ireland, Normanby","","","","-1","www.birdsofmelanesia.net","http://www.birdsofmelanesia.net/"
"avibase-EBD8C251","DISTRIB","ANNUAL","Species distribution","Geographical range","New Guinea to Bismarck Arch., Lesser Sundas and ne Australia","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-EBD8C251","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","0.04","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-EBD8C251","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-19.75","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-EBD8C251","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-5.7","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-EBD8C251","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","141.08","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-EBD8C251","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-EBD8C251","DISTRIB","RANGE_SIZE","Species distribution","Total range size","727507.1","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-EBD8C251","DISTRIB","REALM","Species distribution","Realm","Australian","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-EBD8C251","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-EBD8C251","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-EBD8C251","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-EBD8C251","HABITAT","DESCR","Habitat","Habitat description","swamps, wet forests near water, dense riparian scrub","","","","","http://www.noord.bart.nl/~edcolijn/bird.html","http://www.noord.bart.nl/~edcolijn/bird.html"
"avibase-EBD8C251","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Aquatic ground","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-EBD8C251","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-EBD8C251","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-EBD8C251","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Aquatic predator","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-EBD8C251","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Aquatic predator","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-EBD8C251","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.885","cm","0.82","0.95","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-EBD8C251","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.92","cm","0.92","0.92","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-EBD8C251","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.89","cm","0.82","0.95","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-EBD8C251","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","3.145","cm","3.03","3.26","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-EBD8C251","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","2.76","cm","","","3","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-EBD8C251","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","2.88","cm","","","5","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-EBD8C251","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","3.41","cm","3.41","3.41","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-EBD8C251","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","1.74","cm","1.66","1.82","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-EBD8C251","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","1.71","cm","1.71","1.71","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-EBD8C251","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","1.7275","cm","1.66","1.82","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-EBD8C251","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","3.275","cm","3.03","3.41","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-EBD8C251","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","0.5","cm","0.48","0.52","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-EBD8C251","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","0.51","cm","0.51","0.51","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-EBD8C251","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.485","cm","0.43","0.52","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-EBD8C251","BODY","MASS","Body measurements","Body mass","178","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-EBD8C251","BODY","MASS","Body measurements","Body mass","174","g","154.5","231","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-EBD8C251","BODY","MASS_M","Body measurements","Body mass (males)","154.5","g","154.5","154.5","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-EBD8C251","BODY","MASS_M","Body measurements","Body mass (males)","154.5","grams","","","2","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
