"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-DDF77AB5","DISTRIB","ANNUAL","Species distribution","Geographical range","Rodrigues, Indian Ocean.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-DDF77AB5","DISTRIB","ANNUAL","Species distribution","Geographical range","Resident, dense thickets and woodland often near clearings and usually in non-native trees: Rodrigues.","","","","-1","africanbirdclub.org","http://africanbirdclub.org/resources/checklist.html"
"avibase-DDF77AB5","DISTRIB","ANNUAL","Species distribution","Geographical range","Rodrigues (e Mascarene Islands). Seriously endangered","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-DDF77AB5","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-19.69","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DDF77AB5","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-19.72","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DDF77AB5","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-19.7","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DDF77AB5","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","63.44","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DDF77AB5","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DDF77AB5","DISTRIB","RANGE_SIZE","Species distribution","Total range size","2.73","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DDF77AB5","DISTRIB","REALM","Species distribution","Realm","Madagascar","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-DDF77AB5","RANGE","RESTRICTED","Range and population size","Has restricted range?","Y","","","","-1","Birdlife's Worldbird Database",""
"avibase-DDF77AB5","HABITAT","ALT","Habitat","Altitude","","m","200","390","-1","Birdlife's Worldbird Database",""
"avibase-DDF77AB5","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Semi-open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DDF77AB5","HABITAT","DESCR","Habitat","Habitat description","Shrubland","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DDF77AB5","HABITAT","DESCR","Habitat","Habitat description","forest, scrub","","","","","Sibley 1996",""
"avibase-DDF77AB5","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Invertivore glean arboreal","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-DDF77AB5","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-DDF77AB5","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DDF77AB5","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DDF77AB5","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-DDF77AB5","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.295","cm","0.27","0.32","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DDF77AB5","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.29","cm","0.28","0.3","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DDF77AB5","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.2925","cm","0.27","0.32","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DDF77AB5","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","1.75","cm","1.75","1.75","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DDF77AB5","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","1.785","cm","1.78","1.79","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DDF77AB5","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","0.99","cm","0.99","0.99","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DDF77AB5","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","1.045","cm","1.03","1.06","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DDF77AB5","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","1.02667","cm","0.99","1.06","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DDF77AB5","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","1.77333","cm","1.75","1.79","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DDF77AB5","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","0.335","cm","0.33","0.34","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DDF77AB5","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","0.31","cm","0.3","0.32","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DDF77AB5","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.3225","cm","0.3","0.34","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
