"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-03A3B616","DISTRIB","ANNUAL","Species distribution","Geographical range","Central Chile south to Chiloe Island, east across Argentina to Paraguay, Uruguay and southward to Rio Negro Territory.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-03A3B616","DISTRIB","ANNUAL","Species distribution","Geographical range","Lowlands of se Brazil to s Argentina and Chile","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-03A3B616","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-13.87","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-03A3B616","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-55.98","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-03A3B616","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-31.73","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-03A3B616","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-61.67","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-03A3B616","DISTRIB","MIGRATION","Species distribution","Migration strategy","Partially migratory","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-03A3B616","DISTRIB","RANGE_SIZE","Species distribution","Total range size","5216896.73","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-03A3B616","DISTRIB","REALM","Species distribution","Realm","Neotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-03A3B616","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-03A3B616","HABITAT","ALT","Habitat","Altitude","","m","","1200","-1","Birdlife's Worldbird Database",""
"avibase-03A3B616","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-03A3B616","HABITAT","DESCR","Habitat","Habitat description","Wetland","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-03A3B616","HABITAT","DESCR","Habitat","Habitat description","marshes, ponds, lagoons;lowlands","","","","","Sibley 1996",""
"avibase-03A3B616","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Herbivore aquatic surface","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-03A3B616","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-03A3B616","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-03A3B616","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Herbivore aquatic","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-03A3B616","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Herbivore aquatic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-03A3B616","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","1.44033","cm","1.371","1.48","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-03A3B616","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","1.423","cm","1.3","1.569","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-03A3B616","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","1.43167","cm","1.3","1.569","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-03A3B616","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","5.99433","cm","5.51","6.433","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-03A3B616","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","6.25933","cm","5.95","6.448","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-03A3B616","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","3.505","cm","3.44","3.57","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-03A3B616","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","3.79","cm","3.65","3.93","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-03A3B616","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","3.6475","cm","3.44","3.93","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-03A3B616","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","6.12683","cm","5.51","6.448","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-03A3B616","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","2.09967","cm","2.08","2.119","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-03A3B616","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","2.198","cm","2.184","2.21","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-03A3B616","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","2.14883","cm","2.08","2.21","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-03A3B616","BODY","MASS","Body measurements","Body mass","999.99","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-03A3B616","BODY","MASS","Body measurements","Body mass","1005","g","1000","1181","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-03A3B616","BODY","MASS_F","Body measurements","Body mass (females)","1004","g","1004","1004","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
