"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-FDD00863","DISTRIB","ANNUAL","Species distribution","Geographical range","Aus, Indon, NCal, PNG, Sol, Van, Aureed, Boigu, Bramble Cay, Campbell, Darnley, Dauan, Deliverance, Dove, Massig, Murray, Saibai, Tudu, Ugar, Warraber, Aru, Batanta, Salawati, New Guinea, Waigeo, Yapen, Grande Terre, Ile Des Pins, Anchorite, Baluan, Bougainville, Buka, Crown, Djaul, Duke of York, Feni, Lihir, Lolobau, Long, Mandrin, Manus, Motupore, New Britain, New Guinea, New Hanover, New Ireland, Ninigo, Nissan, Nuguria, Rambutyo, Sakar, San Miguel, Tabar, Tanga, Tolokiwa, Vuatom, Wuvulu, Banika, Borokua, Buena Vista, Choiseul, Fauro, Florida, Gatukai, Gizo, Gower, Guadalcanal, Kerehikapo, Kohinggo, Kulambangra, Makira, Malaita, Mono, New Georgia, Pavuvu, Ranongga, Rendova, Russell Grp, Santa Anna, Santa Catalina, Santa Isabel, Savo, Shortlands, Simbo, Tetipari, Three Sisters, Tulagi, Ugi, Ulawa, Vangunu, Vella Lavella, Vona Vona, Which Island not noted!.","","","","-1","www.birdsofmelanesia.net","http://www.birdsofmelanesia.net/"
"avibase-FDD00863","DISTRIB","ANNUAL","Species distribution","Geographical range","Australasia: widespread","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-FDD00863","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","18.65","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FDD00863","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-43.25","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FDD00863","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-20.37","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FDD00863","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","136.05","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FDD00863","DISTRIB","MIGRATION","Species distribution","Migration strategy","Partially migratory","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FDD00863","DISTRIB","RANGE_SIZE","Species distribution","Total range size","7725707.62","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FDD00863","DISTRIB","REALM","Species distribution","Realm","Australian","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-FDD00863","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-FDD00863","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
