"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-AEB2DA9B","DISTRIB","ANNUAL","Species distribution","Geographical range","South Africa from Natal and eastern Cape Province north to southern Angola, the Zambesi, and Victoria Nyanza.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-AEB2DA9B","DISTRIB","ANNUAL","Species distribution","Geographical range","Resident, swamps and floodplains: S Kenya - NE South Africa, inland to L. Victoria, S DRC, E Angola, NE Namibia.","","","","-1","africanbirdclub.org","http://africanbirdclub.org/resources/checklist.html"
"avibase-AEB2DA9B","DISTRIB","ANNUAL","Species distribution","Geographical range","Locally in e and se Africa","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-AEB2DA9B","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","1.3","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AEB2DA9B","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-33.45","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AEB2DA9B","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-11.89","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AEB2DA9B","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","27.86","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AEB2DA9B","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AEB2DA9B","DISTRIB","RANGE_SIZE","Species distribution","Total range size","5546086.48","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AEB2DA9B","DISTRIB","REALM","Species distribution","Realm","Afrotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-AEB2DA9B","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-AEB2DA9B","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AEB2DA9B","HABITAT","DESCR","Habitat","Habitat description","Wetland","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AEB2DA9B","HABITAT","DESCR","Habitat","Habitat description","marshes, reedbeds, swamps, flooded areas","","","","","Sibley 1996",""
"avibase-AEB2DA9B","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Aquatic ground","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-AEB2DA9B","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-AEB2DA9B","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AEB2DA9B","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Aquatic predator","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AEB2DA9B","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Aquatic predator","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-AEB2DA9B","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","1.24","cm","1.24","1.24","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AEB2DA9B","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","1.3","cm","1.27","1.32","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AEB2DA9B","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","1.285","cm","1.24","1.32","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AEB2DA9B","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","6.57","cm","6.57","6.57","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AEB2DA9B","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","6.72333","cm","6.51","7.04","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AEB2DA9B","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","4.61","cm","4.61","4.61","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AEB2DA9B","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","4.92333","cm","4.79","5.12","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AEB2DA9B","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","4.845","cm","4.61","5.12","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AEB2DA9B","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","6.685","cm","6.51","7.04","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AEB2DA9B","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","6.2","cm","","","17","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-AEB2DA9B","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","0.87","cm","0.87","0.87","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AEB2DA9B","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","0.963333","cm","0.93","1","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AEB2DA9B","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.94","cm","0.87","1","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AEB2DA9B","BODY","MASS","Body measurements","Body mass","201.5","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AEB2DA9B","BODY","TAIL_F","Body measurements","Tail length (females)","6.8","cm","6.8","6.8","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AEB2DA9B","BODY","TAIL_M","Body measurements","Tail length (males)","7.33333","cm","7.1","7.6","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AEB2DA9B","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","7.2","cm","6.8","7.6","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AEB2DA9B","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","7.5","cm","","","17","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-AEB2DA9B","BODY","TARSUS_F","Body measurements","Tarsus length (females)","5.27","cm","5.27","5.27","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AEB2DA9B","BODY","TARSUS_M","Body measurements","Tarsus length (males)","5.46667","cm","5.31","5.74","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AEB2DA9B","BODY","TARSUS_U","Body measurements","Tarsus length (sex unknown)","5.7","cm","","","17","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-AEB2DA9B","BODY","TARSUS_U","Body measurements","Tarsus length (sex unknown)","5.4175","cm","5.27","5.74","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AEB2DA9B","BODY","WING_F","Body measurements","Wing length (females)","19.4","cm","19.4","19.4","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AEB2DA9B","BODY","WING_HWI_F","Body measurements","Hand-Wing Index (females)","140.4","%","140.4","140.4","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AEB2DA9B","BODY","WING_HWI_M","Body measurements","Hand-Wing Index (males)","154.867","%","153.5","155.9","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AEB2DA9B","BODY","WING_HWI_U","Body measurements","Hand-Wing Index (unknown)","151.25","%","140.4","155.9","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AEB2DA9B","BODY","WING_KIPPS_F","Body measurements","Kipps distance (females)","5.36","cm","5.36","5.36","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AEB2DA9B","BODY","WING_KIPPS_M","Body measurements","Kipps distance (males)","5.74667","cm","5.55","6.11","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AEB2DA9B","BODY","WING_KIPPS_U","Body measurements","Kipps distance (unknown)","5.65","cm","5.36","6.11","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AEB2DA9B","BODY","WING_M","Body measurements","Wing length (males)","21.2333","cm","20.9","21.7","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AEB2DA9B","BODY","WING_SECOND1_F","Body measurements","Wing length (females) - secondary1","14.04","cm","14.04","14.04","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AEB2DA9B","BODY","WING_SECOND1_M","Body measurements","Wing length (males) - secondary1","15.4867","cm","15.35","15.59","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-AEB2DA9B","BODY","WING_SECOND1_U","Body measurements","Wing length (unknown) - secondary1","15.125","cm","14.04","15.59","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
