"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-3F65C962","DISTRIB","ANNUAL","Species distribution","Geographical range","Central America, South America: Costa Rica to c Peru, Guianas","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-3F65C962","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","10.54","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3F65C962","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-13","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3F65C962","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-1.98","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3F65C962","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-76.32","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3F65C962","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3F65C962","DISTRIB","RANGE_SIZE","Species distribution","Total range size","227242.25","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3F65C962","DISTRIB","REALM","Species distribution","Realm","Neotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-3F65C962","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-3F65C962","HABITAT","ALT","Habitat","Altitude","","m","750","2000","-1","Birdlife's Worldbird Database",""
"avibase-3F65C962","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3F65C962","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3F65C962","HABITAT","DESCR","Habitat","Habitat description","Montane Evergreen Forest (750-1200 m; Subtropical Zone). ","","","","","AOU Checklist","http://www.aou.org/checklist/north/print.php"
"avibase-3F65C962","HABITAT","DESCR","Habitat","Habitat description","humid forest;mountains 750-2500m","","","","","Sibley 1996",""
"avibase-3F65C962","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Invertivore glean arboreal","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-3F65C962","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-3F65C962","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3F65C962","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3F65C962","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-3F65C962","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.279","cm","0.279","0.279","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3F65C962","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.328","cm","0.314","0.34","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3F65C962","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.313833","cm","0.279","0.34","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3F65C962","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","1.5","cm","1.5","1.5","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3F65C962","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","0.783","cm","0.783","0.783","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3F65C962","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","0.847","cm","0.82","0.862","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3F65C962","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","0.835667","cm","0.783","0.862","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3F65C962","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","1.58333","cm","1.5","1.67","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3F65C962","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","0.322","cm","0.322","0.322","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
