"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-5C045427","DISTRIB","ANNUAL","Species distribution","Geographical range","Andes of Colombia to Ecuador and extreme n Peru","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-5C045427","DISTRIB","ANNUAL","Species distribution","Geographical range","Subtropical (and adjacent parts of tropical and temperate) zones of eastern Ecuador, and northern Peru in Department of Cajamarca (Chaupe; Lomo Santo).","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-5C045427","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","6.07","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5C045427","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-5.53","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5C045427","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","0.12","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5C045427","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-76.66","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5C045427","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5C045427","DISTRIB","RANGE_SIZE","Species distribution","Total range size","45400.68","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5C045427","DISTRIB","REALM","Species distribution","Realm","Neotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-5C045427","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5C045427","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5C045427","HABITAT","DESCR","Habitat","Habitat description","humid shrubbery at forest edge, &along streams, often in 2nd growth;Andes 1250-2100m","","","","","Sibley 1996",""
"avibase-5C045427","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Invertivore ground","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-5C045427","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-5C045427","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5C045427","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5C045427","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-5C045427","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.428","cm","0.39","0.47","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5C045427","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.467","cm","0.441","0.5","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5C045427","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.437889","cm","0.39","0.5","9","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5C045427","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","1.452","cm","1.31","1.51","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5C045427","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","1.7075","cm","1.53","1.91","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5C045427","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","0.854","cm","0.71","1.02","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5C045427","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","0.808667","cm","0.74","0.906","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-5C045427","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","0.844","cm","0.71","1.02","9","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
