"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-A8A08F59","DISTRIB","ANNUAL","Species distribution","Geographical range","NE Bolivia (Beni) and w-central Brazil (extreme w Mato Grosso)","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-A8A08F59","DISTRIB","ANNUAL","Species distribution","Geographical range","Known only from the unique type, perhaps only the young of some other species of Picumnus.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-A8A08F59","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-12.29","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A8A08F59","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-13.94","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A8A08F59","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-13.02","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A8A08F59","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-62.47","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A8A08F59","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A8A08F59","DISTRIB","RANGE_SIZE","Species distribution","Total range size","11590.99","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A8A08F59","DISTRIB","REALM","Species distribution","Realm","Neotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-A8A08F59","RANGE","RESTRICTED","Range and population size","Has restricted range?","Y","","","","-1","Birdlife's Worldbird Database",""
"avibase-A8A08F59","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A8A08F59","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A8A08F59","HABITAT","DESCR","Habitat","Habitat description","forest;lowlands","","","","","Sibley 1996",""
