"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-3535400D","DISTRIB","ANNUAL","Species distribution","Geographical range","Sagebrush plains of western North America from southern British Col- umbia, southern Saskatchewan and northwestern North Dakota, south to middle-eastern California, northwestern New Mexico and northwestern Nebraska.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-3535400D","HABITAT","DESCR","Habitat","Habitat description","dry grassland where sagebrush Artemisia spp occu on plains & low hills;tall & short sagebrush, forb-rich mosaics of tall & short sagebrush, riparian meadows, sagebrush savannas;lowlands-1800m","","","","","Sibley 1996",""
"avibase-3535400D","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","4.1","cm","","","50","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-3535400D","BODY","MASS_F","Body measurements","Body mass (females)","1700","grams","","","221","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-3535400D","BODY","MASS_M","Body measurements","Body mass (males)","3200","grams","","","465","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-3535400D","BODY","TARSUS_M","Body measurements","Tarsus length (males)","7.4","cm","","","50","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-3535400D","BODY","WING_F","Body measurements","Wing length (females)","28.4","cm","","","35","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-3535400D","BODY","WING_M","Body measurements","Wing length (males)","34","cm","","","50","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-3535400D","EGGS","MASS","Eggs","Egg mass","43","grams","","","","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-3535400D","REPROD","CLUTCHSZ","Reproduction","Clutch size","7.35","","","","","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-3535400D","REPROD","DISPLAY","Reproduction","Mating displays","ground displays only, including displays on trees and bushes","","","","","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
