"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-1F293B90","DISTRIB","ANNUAL","Species distribution","Geographical range","Solomon Islands: San Crist6val.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-1F293B90","DISTRIB","ANNUAL","Species distribution","Geographical range","San Cristóbal  (e Solomon Is.)","","","","","IOC 5.3","http://www.worldbirdnames.org/"
"avibase-1F293B90","DISTRIB","ANNUAL","Species distribution","Geographical range","Makira (Solomon Islands)","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-1F293B90","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-10.14","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F293B90","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-10.83","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F293B90","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-10.53","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F293B90","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","161.82","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F293B90","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F293B90","DISTRIB","RANGE_SIZE","Species distribution","Total range size","3331.79","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F293B90","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F293B90","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F293B90","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F293B90","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F293B90","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.805","cm","0.8","0.81","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F293B90","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.8","cm","0.79","0.81","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F293B90","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.8025","cm","0.79","0.81","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F293B90","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","4.005","cm","3.97","4.04","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F293B90","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","3.88","cm","3.77","3.99","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F293B90","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","3.225","cm","3.21","3.24","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F293B90","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","3.095","cm","3.03","3.16","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F293B90","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","3.16","cm","3.03","3.24","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F293B90","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","3.9425","cm","3.77","4.04","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F293B90","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","0.715","cm","0.7","0.73","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F293B90","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","0.73","cm","0.72","0.74","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F293B90","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.7225","cm","0.7","0.74","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F293B90","BODY","MASS","Body measurements","Body mass","21.32","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F293B90","BODY","TAIL_F","Body measurements","Tail length (females)","2.77","cm","2.74","2.8","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F293B90","BODY","TAIL_M","Body measurements","Tail length (males)","2.795","cm","2.72","2.87","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F293B90","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","2.7825","cm","2.72","2.87","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F293B90","BODY","TARSUS_F","Body measurements","Tarsus length (females)","1.055","cm","1.05","1.06","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
