"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-4CAAC972","DISTRIB","ANNUAL","Species distribution","Geographical range","Southeastern Brazil from Goyaz (?), Minas Geras and Espirito Santo to Rio Grande do Sul.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-4CAAC972","DISTRIB","ANNUAL","Species distribution","Geographical range","Lowlands of se Brazil (s Minas Gerais Santa Catarina)","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-4CAAC972","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-18.7","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4CAAC972","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-30.63","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4CAAC972","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-23.93","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4CAAC972","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-45.78","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4CAAC972","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4CAAC972","DISTRIB","RANGE_SIZE","Species distribution","Total range size","220311.75","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4CAAC972","DISTRIB","REALM","Species distribution","Realm","Neotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-4CAAC972","RANGE","RESTRICTED","Range and population size","Has restricted range?","Y","","","","-1","Birdlife's Worldbird Database",""
"avibase-4CAAC972","HABITAT","ALT","Habitat","Altitude","","m","","900","-1","Birdlife's Worldbird Database",""
"avibase-4CAAC972","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4CAAC972","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4CAAC972","HABITAT","DESCR","Habitat","Habitat description","understorey of humid littoral forest;lowlands-500m","","","","","Sibley 1996",""
"avibase-4CAAC972","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Nectarivore aerial","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-4CAAC972","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-4CAAC972","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4CAAC972","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Nectarivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-4CAAC972","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Nectarivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4CAAC972","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.438","cm","0.38","0.49","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4CAAC972","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","3.12","cm","2.98","3.19","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4CAAC972","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","3.94","cm","3.74","4.05","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4CAAC972","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.378","cm","0.35","0.41","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4CAAC972","BODY","MASS","Body measurements","Body mass","7.9","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4CAAC972","BODY","MASS","Body measurements","Body mass","7.9","g","7.9","7.9","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-4CAAC972","BODY","MASS_U","Body measurements","Body mass (sex unknown)","7.9","g","7.9","7.9","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-4CAAC972","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","5.218","cm","4.64","5.45","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4CAAC972","BODY","WING_HWI_U","Body measurements","Hand-Wing Index (unknown)","29.52","%","28.3","31","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-4CAAC972","BODY","WING_KIPPS_U","Body measurements","Kipps distance (unknown)","4.188","cm","4","4.28","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
