"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-8AB95776","DISTRIB","ANNUAL","Species distribution","Geographical range","Southeastern Brazil from Espirito Santo to Rio Grande do Sul; Paraguay; northeastern Argentina (Misiones).","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-8AB95776","DISTRIB","ANNUAL","Species distribution","Geographical range","South America: se","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-8AB95776","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-13.93","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8AB95776","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-30.44","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8AB95776","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-23.83","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8AB95776","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-49.33","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8AB95776","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8AB95776","DISTRIB","RANGE_SIZE","Species distribution","Total range size","934246.25","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8AB95776","DISTRIB","REALM","Species distribution","Realm","Neotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-8AB95776","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-8AB95776","HABITAT","ALT","Habitat","Altitude","","m","300","2000","-1","Birdlife's Worldbird Database",""
"avibase-8AB95776","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8AB95776","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8AB95776","HABITAT","DESCR","Habitat","Habitat description","understorey of lowland & montane rainforest, humid areas in semi-deciduous forest esp.in.southwest of range, & old second growth;100-2250m","","","","","Sibley 1996",""
"avibase-8AB95776","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Nectarivore aerial","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-8AB95776","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-8AB95776","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8AB95776","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Nectarivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-8AB95776","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Nectarivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8AB95776","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.2626","cm","0.25","0.273","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8AB95776","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","3.315","cm","3.03","3.67","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8AB95776","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","3.9556","cm","3.72","4.13","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8AB95776","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.2558","cm","0.219","0.3","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8AB95776","BODY","MASS","Body measurements","Body mass","5.3","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8AB95776","BODY","MASS","Body measurements","Body mass","5.3","g","5.3","5.3","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-8AB95776","BODY","MASS_U","Body measurements","Body mass (sex unknown)","5.3","g","5.3","5.3","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-8AB95776","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","6.86","cm","6.3","7.8","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8AB95776","BODY","TARSUS_U","Body measurements","Tarsus length (sex unknown)","0.4518","cm","0.34","0.739","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8AB95776","BODY","WING_HWI_U","Body measurements","Hand-Wing Index (unknown)","22.975","%","21.6","24.8","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8AB95776","BODY","WING_KIPPS_U","Body measurements","Kipps distance (unknown)","3.5275","cm","3.42","3.75","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8AB95776","BODY","WING_SECOND1_U","Body measurements","Wing length (unknown) - secondary1","2.2975","cm","2.16","2.48","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8AB95776","BODY","WING_U","Body measurements","Wing length (sex unknown)","5.84","cm","5.6","6.1","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8AB95776","REPROD","CLUTCHSZ","Reproduction","Clutch size","2","n","2","2","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
