"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-1B11690B","DISTRIB","ANNUAL","Species distribution","Geographical range","Equatorial Africa from s-c Nigeria to s Ethiopia and Malawi","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-1B11690B","DISTRIB","ANNUAL","Species distribution","Geographical range","Resident, forest and plantations with dense undergrowth: patchy SE Nigeria to Ethiopia south to DRC, N Malawi.","","","","-1","africanbirdclub.org","http://africanbirdclub.org/resources/checklist.html"
"avibase-1B11690B","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","12.65","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1B11690B","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-12.35","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1B11690B","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","2.11","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1B11690B","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","24.44","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1B11690B","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1B11690B","DISTRIB","RANGE_SIZE","Species distribution","Total range size","2593426.1","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1B11690B","DISTRIB","REALM","Species distribution","Realm","Afrotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-1B11690B","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-1B11690B","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
