"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-80DFB0BE","DISTRIB","ANNUAL","Species distribution","Geographical range","Lowland forests of Malay Peninsula, Sumatra and Borneo","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-80DFB0BE","DISTRIB","ANNUAL","Species distribution","Geographical range","Southern Tenasserim, Peninsular Siam, Malay Peninsula, Sumatra, Rhio Archipelago, Banka, Billiton, Borneo, North Natuna Islands.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-80DFB0BE","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","13.01","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-80DFB0BE","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-5.95","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-80DFB0BE","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","1.31","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-80DFB0BE","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","108","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-80DFB0BE","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-80DFB0BE","DISTRIB","RANGE_SIZE","Species distribution","Total range size","1253065.68","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-80DFB0BE","DISTRIB","REALM","Species distribution","Realm","Indo_Malay","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-80DFB0BE","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-80DFB0BE","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-80DFB0BE","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-80DFB0BE","HABITAT","DESCR","Habitat","Habitat description","forest;lowlands-1100m","","","","","http://www.noord.bart.nl/~edcolijn/bird.html","http://www.noord.bart.nl/~edcolijn/bird.html"
"avibase-80DFB0BE","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Invertivore sally surface","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-80DFB0BE","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-80DFB0BE","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-80DFB0BE","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-80DFB0BE","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-80DFB0BE","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.745","cm","0.72","0.77","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-80DFB0BE","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.781667","cm","0.76","0.8","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-80DFB0BE","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.767","cm","0.72","0.8","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-80DFB0BE","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","1.675","cm","1.65","1.7","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-80DFB0BE","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","1.78433","cm","1.65","1.903","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-80DFB0BE","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","1","cm","0.99","1.01","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-80DFB0BE","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","1.035","cm","1","1.07","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-80DFB0BE","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","1.0175","cm","0.99","1.07","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-80DFB0BE","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","1.7406","cm","1.65","1.903","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-80DFB0BE","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","0.655","cm","0.64","0.67","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-80DFB0BE","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","0.687","cm","0.64","0.751","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
