"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-576B77A3","DISTRIB","ANNUAL","Species distribution","Geographical range","Seychelles: Praslin, Silhouette, Mahe, Marianne and Felicite.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-576B77A3","DISTRIB","ANNUAL","Species distribution","Geographical range","Resident, montane forest: Seychelles.","","","","-1","africanbirdclub.org","http://africanbirdclub.org/resources/checklist.html"
"avibase-576B77A3","DISTRIB","ANNUAL","Species distribution","Geographical range","Seychelles (Praslin, Mahé, Felicité and Silhouette)","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-576B77A3","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-3.71","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-576B77A3","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-4.8","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-576B77A3","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-4.56","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-576B77A3","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","55.52","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-576B77A3","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-576B77A3","DISTRIB","RANGE_SIZE","Species distribution","Total range size","243.54","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-576B77A3","DISTRIB","REALM","Species distribution","Realm","Madagascar","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-576B77A3","RANGE","RESTRICTED","Range and population size","Has restricted range?","Y","","","","-1","Birdlife's Worldbird Database",""
"avibase-576B77A3","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Semi-open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
