"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-2C828882","DISTRIB","ANNUAL","Species distribution","Geographical range","Formerly abundant in the Seychelles; now confined to the Island of Silhouette.^ Possibly extinct.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-2C828882","DISTRIB","ANNUAL","Species distribution","Geographical range","Formerly Seychelles. Extinct; last reported 1900","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-2C828882","RANGE","RESTRICTED","Range and population size","Has restricted range?","Y","","","","-1","Birdlife's Worldbird Database",""
"avibase-2C828882","HABITAT","DESCR","Habitat","Habitat description","forest.Last reported 1881, extinct by 1906","","","","","Sibley 1996",""
"avibase-2C828882","BODY","MASS","Body measurements","Body mass","239","g","211.5","260","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-2C828882","BODY","MASS_F","Body measurements","Body mass (females)","214","g","211.5","223","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-2C828882","BODY","MASS_U","Body measurements","Body mass (sex unknown)","228","g","228","228","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-2C828882","EGGS","MASS","Eggs","Egg mass","14.4","g","14.4","14.4","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-2C828882","REPROD","AGE1ST","Reproduction","Age at first breeding","4","years","4","4","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-2C828882","REPROD","AGE1ST_F","Reproduction","Age at first breeding (females)","3","years","3","3","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-2C828882","REPROD","CLUTCHSZ","Reproduction","Clutch size","3.25","n","3","3.5","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-2C828882","REPROD","FLEDGING","Reproduction","Fledging period","49","days","49","49","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-2C828882","REPROD","INCUBATION","Reproduction","Incubation period","21","days","21","21","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-2C828882","SURVIVAL","MAXAGE","Survival","Maximum age","30","years","30","30","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-2C828882","SURVIVAL","MEAN","Survival","Average survival","30","years","","","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
