"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-1A0ECB6E","DISTRIB","ANNUAL","Species distribution","Geographical range","Resident, woodland savanna: all S of Sahara except forest area and dry NE and SW.","","","","-1","africanbirdclub.org","http://africanbirdclub.org/resources/checklist.html"
"avibase-1A0ECB6E","DISTRIB","ANNUAL","Species distribution","Geographical range","Africa, Asia: widespread, also s PAL","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-1A0ECB6E","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","46.39","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1A0ECB6E","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-29.47","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1A0ECB6E","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","8.23","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1A0ECB6E","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","44.98","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1A0ECB6E","DISTRIB","MIGRATION","Species distribution","Migration strategy","Migratory","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1A0ECB6E","DISTRIB","RANGE_SIZE","Species distribution","Total range size","22374973","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1A0ECB6E","DISTRIB","REALM","Species distribution","Realm","Afrotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-1A0ECB6E","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-1A0ECB6E","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Semi-open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1A0ECB6E","HABITAT","DESCR","Habitat","Habitat description","Shrubland","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1A0ECB6E","HABITAT","DESCR","Habitat","Habitat description","open woodland, edge, savanna, towns, orchards, farmland;lowlands-1500","","","","","http://www.noord.bart.nl/~edcolijn/bird.html","http://www.noord.bart.nl/~edcolijn/bird.html"
"avibase-1A0ECB6E","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Vertivore perch","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-1A0ECB6E","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-1A0ECB6E","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1A0ECB6E","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Vertivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1A0ECB6E","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Vertivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-1A0ECB6E","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","1.2625","cm","1.11","1.45","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1A0ECB6E","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","1.09367","cm","1.04","1.11","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1A0ECB6E","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","1.1612","cm","1.04","1.45","10","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1A0ECB6E","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","2.1475","cm","2.1","2.26","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1A0ECB6E","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","2.005","cm","1.81","2.08","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1A0ECB6E","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","1.26","cm","1.17","1.35","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1A0ECB6E","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","1.1575","cm","1.09","1.22","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1A0ECB6E","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","1.20875","cm","1.09","1.35","8","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1A0ECB6E","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","2.062","cm","1.81","2.26","10","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1A0ECB6E","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","0.905","cm","0.84","0.98","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1A0ECB6E","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","0.856167","cm","0.743","0.964","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1A0ECB6E","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.8757","cm","0.743","0.98","10","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1A0ECB6E","BODY","MASS","Body measurements","Body mass","131.15","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1A0ECB6E","BODY","MASS","Body measurements","Body mass","140","g","122","229.5","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-1A0ECB6E","BODY","MASS_F","Body measurements","Body mass (females)","168.5","g","140","266","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-1A0ECB6E","BODY","MASS_M","Body measurements","Body mass (males)","125","g","122","193","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-1A0ECB6E","BODY","MASS_U","Body measurements","Body mass (sex unknown)","123","g","123","123","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-1A0ECB6E","BODY","SVL","Body measurements","Snout-to-vent length (adults)","30","cm","30","30","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-1A0ECB6E","BODY","TAIL_F","Body measurements","Tail length (females)","17.7","cm","","","14","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-1A0ECB6E","BODY","TAIL_F","Body measurements","Tail length (females)","15.225","cm","13.6","16.8","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1A0ECB6E","BODY","TAIL_M","Body measurements","Tail length (males)","13.2833","cm","12.2","14.1","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1A0ECB6E","BODY","TAIL_M","Body measurements","Tail length (males)","14.7","cm","","","20","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-1A0ECB6E","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","14.06","cm","12.2","16.8","10","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1A0ECB6E","BODY","TARSUS_F","Body measurements","Tarsus length (females)","4.62","cm","4.05","5.75","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1A0ECB6E","BODY","TARSUS_M","Body measurements","Tarsus length (males)","4.08883","cm","3.89","4.421","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1A0ECB6E","BODY","TARSUS_U","Body measurements","Tarsus length (sex unknown)","4.3013","cm","3.89","5.75","10","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1A0ECB6E","BODY","TARSUS_U","Body measurements","Tarsus length (sex unknown)","4.4","cm","","","","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-1A0ECB6E","BODY","WING_F","Body measurements","Wing length (females)","19.1","cm","","","","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-1A0ECB6E","BODY","WING_F","Body measurements","Wing length (females)","20.0125","cm","18.8","21.15","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1A0ECB6E","BODY","WING_HWI_F","Body measurements","Hand-Wing Index (females)","135.35","%","125","146.4","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1A0ECB6E","BODY","WING_HWI_M","Body measurements","Hand-Wing Index (males)","119.475","%","118","121.5","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1A0ECB6E","BODY","WING_HWI_U","Body measurements","Hand-Wing Index (unknown)","127.412","%","118","146.4","8","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1A0ECB6E","BODY","WING_KIPPS_F","Body measurements","Kipps distance (females)","6.4775","cm","6.1","7","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1A0ECB6E","BODY","WING_KIPPS_M","Body measurements","Kipps distance (males)","6.0275","cm","5.2","6.65","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1A0ECB6E","BODY","WING_KIPPS_U","Body measurements","Kipps distance (unknown)","6.2525","cm","5.2","7","8","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1A0ECB6E","BODY","WING_M","Body measurements","Wing length (males)","17.7667","cm","17","18.8","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1A0ECB6E","BODY","WING_M","Body measurements","Wing length (males)","17.2","cm","","","","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-1A0ECB6E","BODY","WING_SECOND1_F","Body measurements","Wing length (females) - secondary1","13.535","cm","12.5","14.64","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1A0ECB6E","BODY","WING_SECOND1_M","Body measurements","Wing length (males) - secondary1","11.9475","cm","11.8","12.15","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1A0ECB6E","BODY","WING_SECOND1_U","Body measurements","Wing length (unknown) - secondary1","12.7412","cm","11.8","14.64","8","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1A0ECB6E","BODY","WING_U","Body measurements","Wing length (sex unknown)","18.665","cm","17","21.15","10","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1A0ECB6E","EGGS","MASS","Eggs","Egg mass","21","grams","","","","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
