"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-B933D557","DISTRIB","ANNUAL","Species distribution","Geographical range","Woodlands and scrub of sw Australia","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-B933D557","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-29.08","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B933D557","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-34.43","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B933D557","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-32.28","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B933D557","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","118.12","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B933D557","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B933D557","DISTRIB","RANGE_SIZE","Species distribution","Total range size","41321","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B933D557","DISTRIB","REALM","Species distribution","Realm","Australian","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-B933D557","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-B933D557","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Semi-open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B933D557","HABITAT","DESCR","Habitat","Habitat description","Shrubland","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B933D557","HABITAT","DESCR","Habitat","Habitat description","native woodland dominated by Wandoo Eucalyptus wandoo and Salmon Gum E.salmonophloia, sandplains in shrubland or kwongan heathland, dominated by Hakea, Dryandra, Banksia & Grevillea;seasonally Pinus plantations;also forests of Marri, Karri & Jarrah.","","","","","Sibley 1996",""
"avibase-B933D557","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Granivore arboreal","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-B933D557","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-B933D557","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B933D557","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Granivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B933D557","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Granivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-B933D557","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","5.085","cm","4.83","5.34","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B933D557","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","5.05","cm","4.6","5.5","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B933D557","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","5.0675","cm","4.6","5.5","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B933D557","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","4.49","cm","4.37","4.61","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B933D557","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","4.48","cm","","","15","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-B933D557","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","4.49","cm","","","17","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-B933D557","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","4.6","cm","4.56","4.64","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B933D557","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","3.66","cm","3.59","3.73","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
