"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-E86394DA","DISTRIB","ANNUAL","Species distribution","Geographical range","Madagascar in the central and northern sections of the eastern forest region.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-E86394DA","DISTRIB","ANNUAL","Species distribution","Geographical range","Resident, undisturbed forest: E half Madagascar.","","","","-1","africanbirdclub.org","http://africanbirdclub.org/resources/checklist.html"
"avibase-E86394DA","DISTRIB","ANNUAL","Species distribution","Geographical range","Dense rainforests of central and ne Madagascar","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-E86394DA","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-13.12","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E86394DA","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-25.03","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E86394DA","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-17.88","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E86394DA","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","48.72","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E86394DA","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E86394DA","DISTRIB","RANGE_SIZE","Species distribution","Total range size","39070.42","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E86394DA","DISTRIB","REALM","Species distribution","Realm","Madagascar","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-E86394DA","RANGE","RESTRICTED","Range and population size","Has restricted range?","Y","","","","-1","Birdlife's Worldbird Database",""
"avibase-E86394DA","HABITAT","ALT","Habitat","Altitude","","m","","1200","-1","Birdlife's Worldbird Database",""
"avibase-E86394DA","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E86394DA","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E86394DA","HABITAT","DESCR","Habitat","Habitat description","humid forest floor, esp.underbrush.w.herbaceous.mossy vegn w leaf litter;lowlands-1200","","","","","Sibley 1996",""
"avibase-E86394DA","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Invertivore sally surface","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-E86394DA","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-E86394DA","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E86394DA","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E86394DA","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-E86394DA","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","1.365","cm","1.35","1.38","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E86394DA","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","1.64","cm","1.6","1.68","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E86394DA","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","1.48","cm","1.35","1.68","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E86394DA","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","3.955","cm","3.5","4.41","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E86394DA","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","4.385","cm","4.22","4.55","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E86394DA","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","2.47","cm","2.43","2.51","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E86394DA","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","2.935","cm","2.87","3","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E86394DA","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","2.7025","cm","2.43","3","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E86394DA","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","4.1772","cm","3.5","4.55","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E86394DA","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","1.295","cm","1.27","1.32","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E86394DA","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","1.37","cm","1.36","1.38","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E86394DA","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","1.3156","cm","1.248","1.38","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E86394DA","BODY","MASS","Body measurements","Body mass","185","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E86394DA","BODY","MASS","Body measurements","Body mass","185.25","g","185","185.5","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-E86394DA","BODY","MASS_U","Body measurements","Body mass (sex unknown)","185.25","g","185","185.5","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-E86394DA","BODY","TAIL_F","Body measurements","Tail length (females)","11.65","cm","11.5","11.8","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E86394DA","BODY","TAIL_M","Body measurements","Tail length (males)","13.85","cm","13.5","14.2","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E86394DA","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","12.74","cm","11.5","14.2","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E86394DA","BODY","TARSUS_F","Body measurements","Tarsus length (females)","3.3","cm","3.22","3.38","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E86394DA","BODY","TARSUS_M","Body measurements","Tarsus length (males)","3.4","cm","3.38","3.42","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E86394DA","BODY","TARSUS_U","Body measurements","Tarsus length (sex unknown)","3.371","cm","3.22","3.455","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E86394DA","BODY","WING_F","Body measurements","Wing length (females)","13.75","cm","13.7","13.8","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E86394DA","BODY","WING_HWI_F","Body measurements","Hand-Wing Index (females)","112","%","107","117","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E86394DA","BODY","WING_HWI_M","Body measurements","Hand-Wing Index (males)","107","%","105","109","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E86394DA","BODY","WING_HWI_U","Body measurements","Hand-Wing Index (unknown)","109.5","%","105","117","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E86394DA","BODY","WING_KIPPS_F","Body measurements","Kipps distance (females)","2.55","cm","2","3.1","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E86394DA","BODY","WING_KIPPS_M","Body measurements","Kipps distance (males)","2.85","cm","2.7","3","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E86394DA","BODY","WING_KIPPS_U","Body measurements","Kipps distance (unknown)","2.7","cm","2","3.1","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E86394DA","BODY","WING_M","Body measurements","Wing length (males)","13.55","cm","13.5","13.6","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E86394DA","BODY","WING_SECOND1_F","Body measurements","Wing length (females) - secondary1","11.2","cm","10.7","11.7","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E86394DA","BODY","WING_SECOND1_M","Body measurements","Wing length (males) - secondary1","10.7","cm","10.5","10.9","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E86394DA","BODY","WING_SECOND1_U","Body measurements","Wing length (unknown) - secondary1","10.95","cm","10.5","11.7","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E86394DA","BODY","WING_U","Body measurements","Wing length (sex unknown)","13.76","cm","13.5","14.2","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
