"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-FF6D92AA","DISTRIB","ANNUAL","Species distribution","Geographical range","Highlands of Chiapas, Guatemala and El Salvador.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-FF6D92AA","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","17.04","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FF6D92AA","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","13.8","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FF6D92AA","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","15.28","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FF6D92AA","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-90.72","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FF6D92AA","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FF6D92AA","DISTRIB","RANGE_SIZE","Species distribution","Total range size","78586.85","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FF6D92AA","DISTRIB","REALM","Species distribution","Realm","Neotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-FF6D92AA","RANGE","RESTRICTED","Range and population size","Has restricted range?","Y","","","","-1","Birdlife's Worldbird Database",""
"avibase-FF6D92AA","HABITAT","ALT","Habitat","Altitude","","m","1000","2100","-1","Birdlife's Worldbird Database",""
"avibase-FF6D92AA","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Semi-open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FF6D92AA","HABITAT","DESCR","Habitat","Habitat description","Woodland","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FF6D92AA","HABITAT","DESCR","Habitat","Habitat description","Montane Evergreen Forest Edge, Second-growth Scrub (1000-2100 m; Subtropical Zone). ","","","","","AOU Checklist","http://www.aou.org/checklist/north/print.php"
"avibase-FF6D92AA","HABITAT","DESCR","Habitat","Habitat description","forest edge, second growth, open woodland, brush;highlands","","","","","Sibley 1996",""
"avibase-FF6D92AA","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Nectarivore aerial","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-FF6D92AA","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-FF6D92AA","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FF6D92AA","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Nectarivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FF6D92AA","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Nectarivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-FF6D92AA","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.145","cm","0.13","0.16","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FF6D92AA","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.152667","cm","0.138","0.17","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FF6D92AA","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.1496","cm","0.13","0.17","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FF6D92AA","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","2.205","cm","2.18","2.23","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FF6D92AA","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","2.18167","cm","2.135","2.26","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FF6D92AA","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","1.865","cm","1.85","1.88","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FF6D92AA","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","1.725","cm","1.72","1.73","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FF6D92AA","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","1.795","cm","1.72","1.88","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FF6D92AA","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","2.191","cm","2.135","2.26","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FF6D92AA","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","0.145","cm","0.14","0.15","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FF6D92AA","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","0.130333","cm","0.11","0.151","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FF6D92AA","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.1362","cm","0.11","0.151","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FF6D92AA","BODY","MASS","Body measurements","Body mass","2.4","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FF6D92AA","BODY","MASS","Body measurements","Body mass","2.4","g","2.4","2.4","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-FF6D92AA","BODY","MASS_U","Body measurements","Body mass (sex unknown)","2.4","g","2.4","2.4","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
