"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-2988DEC6","DISTRIB","ANNUAL","Species distribution","Geographical range","Brazil south of the Amazon from the Madeira to Pernambuco and south to eastern Bolivia, Paraguay and Sao Paulo.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-2988DEC6","DISTRIB","ANNUAL","Species distribution","Geographical range","Patchily distributed Amazon basin south to ne Argentina","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-2988DEC6","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-0.38","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2988DEC6","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-28.61","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2988DEC6","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-13.2","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2988DEC6","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-51.22","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2988DEC6","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2988DEC6","DISTRIB","RANGE_SIZE","Species distribution","Total range size","6659535.62","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2988DEC6","DISTRIB","REALM","Species distribution","Realm","Neotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-2988DEC6","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-2988DEC6","HABITAT","ALT","Habitat","Altitude","","m","","1200","-1","Birdlife's Worldbird Database",""
"avibase-2988DEC6","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Semi-open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2988DEC6","HABITAT","DESCR","Habitat","Habitat description","Shrubland","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2988DEC6","HABITAT","DESCR","Habitat","Habitat description","humid forest, bamboo thickets, scrub;lowlands","","","","","Sibley 1996",""
"avibase-2988DEC6","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-2988DEC6","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2988DEC6","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Omnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2988DEC6","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Omnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-2988DEC6","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.412857","cm","0.35","0.45","7","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2988DEC6","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.43275","cm","0.41","0.471","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2988DEC6","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.422846","cm","0.31","0.566","13","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2988DEC6","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","1.99857","cm","1.86","2.06","7","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2988DEC6","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","1.8354","cm","1.747","1.98","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2988DEC6","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","0.985714","cm","0.92","1.1","7","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2988DEC6","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","0.8975","cm","0.86","0.99","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2988DEC6","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","0.9525","cm","0.86","1.1","12","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2988DEC6","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","1.92686","cm","1.747","2.06","14","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2988DEC6","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","0.45","cm","0.42","0.48","7","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2988DEC6","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","0.41","cm","0.39","0.43","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2988DEC6","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.431667","cm","0.39","0.48","12","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2988DEC6","BODY","MASS","Body measurements","Body mass","198.99","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2988DEC6","BODY","MASS","Body measurements","Body mass","196.5","g","173","220","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-2988DEC6","BODY","MASS_F","Body measurements","Body mass (females)","220","g","176","250","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-2988DEC6","BODY","MASS_M","Body measurements","Body mass (males)","180","g","154","205","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-2988DEC6","BODY","TAIL_F","Body measurements","Tail length (females)","3.74286","cm","3.4","4.4","7","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2988DEC6","BODY","TAIL_M","Body measurements","Tail length (males)","3.725","cm","3.4","4","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2988DEC6","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","3.73333","cm","3.4","4.4","12","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2988DEC6","BODY","TARSUS_F","Body measurements","Tarsus length (females)","2.58286","cm","2.37","2.69","7","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2988DEC6","BODY","TARSUS_M","Body measurements","Tarsus length (males)","2.563","cm","2.45","2.73","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2988DEC6","BODY","TARSUS_U","Body measurements","Tarsus length (sex unknown)","2.57079","cm","2.37","2.73","14","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2988DEC6","BODY","WING_F","Body measurements","Wing length (females)","11.4","cm","11","12.5","7","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2988DEC6","BODY","WING_HWI_F","Body measurements","Hand-Wing Index (females)","85.8","%","85.8","85.8","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
