"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-469BC7B8","DISTRIB","ANNUAL","Species distribution","Geographical range","Bahama Islands; Greater and Lesser Antilles; islands of Holbox, Cozu- m61 and Ruatan; Corn Islands; Swan Island; Panama; Pearl Islands; Margarita Island; Trinidad; South America south on the west coast to Ecuador, east of the Andes to western and northern Argentina (La Rioja and Chaco), Paraguay and Rio Grande do Sul.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-469BC7B8","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","28.67","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-469BC7B8","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-33.47","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-469BC7B8","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-8.83","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-469BC7B8","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-58.65","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-469BC7B8","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-469BC7B8","DISTRIB","RANGE_SIZE","Species distribution","Total range size","14110810.9","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-469BC7B8","DISTRIB","REALM","Species distribution","Realm","Neotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-469BC7B8","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-469BC7B8","HABITAT","ALT","Habitat","Altitude","","m","","2000","-1","Birdlife's Worldbird Database",""
"avibase-469BC7B8","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
