"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-42B0D7C0","DISTRIB","ANNUAL","Species distribution","Geographical range","Solomon Islands: Bougainville, Choiseul and Ysabel.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-42B0D7C0","DISTRIB","ANNUAL","Species distribution","Geographical range","PNG, Sol, Bougainville, Buka, Choiseul, Santa Isabel, San Jorge","","","","-1","www.birdsofmelanesia.net","http://www.birdsofmelanesia.net/"
"avibase-42B0D7C0","DISTRIB","ANNUAL","Species distribution","Geographical range","N Solomon Islands (Bougainville, Choiseul and Santa Isabel)","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-42B0D7C0","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-5.01","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-42B0D7C0","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-8.58","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-42B0D7C0","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-6.8","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-42B0D7C0","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","156.58","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-42B0D7C0","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-42B0D7C0","DISTRIB","RANGE_SIZE","Species distribution","Total range size","16697.99","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-42B0D7C0","DISTRIB","REALM","Species distribution","Realm","Australian","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-42B0D7C0","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Semi-open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-42B0D7C0","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-42B0D7C0","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Generalist","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-42B0D7C0","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-42B0D7C0","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-42B0D7C0","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-42B0D7C0","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-42B0D7C0","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","2","cm","2","2","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-42B0D7C0","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","1.76","cm","1.76","1.76","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-42B0D7C0","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","1.92","cm","1.76","2","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-42B0D7C0","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","3.495","cm","3.41","3.58","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-42B0D7C0","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","3.18","cm","3.18","3.18","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-42B0D7C0","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","2.48","cm","2.44","2.52","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-42B0D7C0","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","2.27","cm","2.27","2.27","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-42B0D7C0","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","2.41","cm","2.27","2.52","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-42B0D7C0","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","3.39","cm","3.18","3.58","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-42B0D7C0","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","3.61","cm","3.44","3.78","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-42B0D7C0","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","3.44","cm","3.44","3.44","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-42B0D7C0","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","3.55333","cm","3.44","3.78","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-42B0D7C0","BODY","MASS","Body measurements","Body mass","169","g","140","262","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-42B0D7C0","BODY","MASS","Body measurements","Body mass","175.37","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-42B0D7C0","BODY","MASS_F","Body measurements","Body mass (females)","170","g","168","209.5","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-42B0D7C0","BODY","MASS_M","Body measurements","Body mass (males)","262","g","212.5","265","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-42B0D7C0","BODY","MASS_U","Body measurements","Body mass (sex unknown)","141.75","g","140","143.5","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-42B0D7C0","BODY","TAIL_F","Body measurements","Tail length (females)","16.35","cm","16","16.7","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-42B0D7C0","BODY","TAIL_M","Body measurements","Tail length (males)","17.1","cm","17.1","17.1","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-42B0D7C0","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","16.6","cm","16","17.1","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-42B0D7C0","BODY","TARSUS_F","Body measurements","Tarsus length (females)","2.525","cm","2.5","2.55","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-42B0D7C0","BODY","TARSUS_M","Body measurements","Tarsus length (males)","2.16","cm","2.16","2.16","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-42B0D7C0","BODY","TARSUS_U","Body measurements","Tarsus length (sex unknown)","2.40333","cm","2.16","2.55","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-42B0D7C0","BODY","WING_F","Body measurements","Wing length (females)","19.45","cm","18.7","20.2","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-42B0D7C0","BODY","WING_HWI_F","Body measurements","Hand-Wing Index (females)","142.15","%","136.5","147.8","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-42B0D7C0","BODY","WING_HWI_M","Body measurements","Hand-Wing Index (males)","134.4","%","134.4","134.4","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-42B0D7C0","BODY","WING_HWI_U","Body measurements","Hand-Wing Index (unknown)","139.567","%","134.4","147.8","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-42B0D7C0","BODY","WING_KIPPS_F","Body measurements","Kipps distance (females)","5.235","cm","5.05","5.42","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-42B0D7C0","BODY","WING_KIPPS_M","Body measurements","Kipps distance (males)","5.26","cm","5.26","5.26","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-42B0D7C0","BODY","WING_KIPPS_U","Body measurements","Kipps distance (unknown)","5.24333","cm","5.05","5.42","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-42B0D7C0","BODY","WING_M","Body measurements","Wing length (males)","18.7","cm","18.7","18.7","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-42B0D7C0","BODY","WING_SECOND1_F","Body measurements","Wing length (females) - secondary1","14.215","cm","13.65","14.78","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-42B0D7C0","BODY","WING_SECOND1_M","Body measurements","Wing length (males) - secondary1","13.44","cm","13.44","13.44","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-42B0D7C0","BODY","WING_SECOND1_U","Body measurements","Wing length (unknown) - secondary1","13.9567","cm","13.44","14.78","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-42B0D7C0","BODY","WING_U","Body measurements","Wing length (sex unknown)","19.2","cm","18.7","20.2","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-42B0D7C0","EGGS","MASS","Eggs","Egg mass","13.5","g","13.5","13.5","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-42B0D7C0","REPROD","CLUTCHSZ","Reproduction","Clutch size","1.25","n","1","1.5","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-42B0D7C0","REPROD","FLEDGING","Reproduction","Fledging period","30","days","30","30","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-42B0D7C0","REPROD","INCUBATION","Reproduction","Incubation period","30","days","30","30","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
