"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-C84BD649","DISTRIB","ANNUAL","Species distribution","Geographical range","Western half of Cape Province south of the Orange River.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-C84BD649","DISTRIB","ANNUAL","Species distribution","Geographical range","Resident, coastal fynbos, semi-arid scrub: W and S Cape Province.","","","","-1","africanbirdclub.org","http://africanbirdclub.org/resources/checklist.html"
"avibase-C84BD649","DISTRIB","ANNUAL","Species distribution","Geographical range","Grasslands of sw Africa (Cape Province)","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-C84BD649","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-29.96","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C84BD649","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-34.84","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C84BD649","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-32.86","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C84BD649","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","20.86","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C84BD649","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C84BD649","DISTRIB","RANGE_SIZE","Species distribution","Total range size","173167.3","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C84BD649","DISTRIB","REALM","Species distribution","Realm","Afrotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
