"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-1F6656EC","DISTRIB","ANNUAL","Species distribution","Geographical range","Pacific Ocean: s Marquesas Is. (ne Polynesia)","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-1F6656EC","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-7.86","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F6656EC","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-10.54","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F6656EC","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-9.83","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F6656EC","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-139.16","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F6656EC","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F6656EC","DISTRIB","RANGE_SIZE","Species distribution","Total range size","593.47","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F6656EC","RANGE","RESTRICTED","Range and population size","Has restricted range?","Y","","","","-1","Birdlife's Worldbird Database",""
"avibase-1F6656EC","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Semi-open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F6656EC","HABITAT","DESCR","Habitat","Habitat description","Shrubland","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F6656EC","HABITAT","DESCR","Habitat","Habitat description","lowland plantations, dry brushy hillsides, montane forest;lowlands-1200m","","","","","Sibley 1996",""
"avibase-1F6656EC","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F6656EC","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F6656EC","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.51","cm","0.51","0.51","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F6656EC","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.50575","cm","0.5","0.513","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F6656EC","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.5066","cm","0.5","0.513","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F6656EC","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","3.15","cm","3.15","3.15","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F6656EC","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","3.01475","cm","2.95","3.07","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F6656EC","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","1.95","cm","1.95","1.95","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F6656EC","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","1.83667","cm","1.72","1.98","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-1F6656EC","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","1.865","cm","1.72","1.98","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
