"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-36C0242E","DISTRIB","ANNUAL","Species distribution","Geographical range","Western South America from northwestern Venezuela to southern Peru; Africa from Angola on the west and Shoa on the east to Cape Province.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-36C0242E","DISTRIB","ANNUAL","Species distribution","Geographical range","Resident, large bodies of deeper water: Ethiopia - S Angola, South Africa but not east coast.","","","","-1","africanbirdclub.org","http://africanbirdclub.org/resources/checklist.html"
"avibase-36C0242E","DISTRIB","ANNUAL","Species distribution","Geographical range","Africa, South America: e, se, s AF and Amazonia","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-36C0242E","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","15.22","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-36C0242E","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-34.84","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-36C0242E","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-12.6","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-36C0242E","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","12.81","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-36C0242E","DISTRIB","MIGRATION","Species distribution","Migration strategy","Partially migratory","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-36C0242E","DISTRIB","RANGE_SIZE","Species distribution","Total range size","10612856.99","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-36C0242E","DISTRIB","REALM","Species distribution","Realm","Afrotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-36C0242E","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-36C0242E","HABITAT","ALT","Habitat","Altitude","","m","","3700","-1","Birdlife's Worldbird Database",""
"avibase-36C0242E","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-36C0242E","HABITAT","DESCR","Habitat","Habitat description","Wetland","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-36C0242E","HABITAT","DESCR","Habitat","Habitat description","coastal lagoons, marshes, shallow ponds","","","","","Sibley 1996",""
"avibase-36C0242E","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Generalist","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-36C0242E","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-36C0242E","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-36C0242E","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Herbivore aquatic","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-36C0242E","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Herbivore aquatic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-36C0242E","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","1.365","cm","1.31","1.42","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-36C0242E","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","1.37","cm","1.31","1.43","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-36C0242E","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","1.3524","cm","1.292","1.43","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-36C0242E","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","4.215","cm","4.07","4.36","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-36C0242E","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","4.33","cm","","","32","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-36C0242E","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","4.4","cm","","","32","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-36C0242E","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","4.325","cm","4.32","4.33","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-36C0242E","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","3.23","cm","3.17","3.29","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-36C0242E","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","3.29","cm","3.26","3.32","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-36C0242E","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","3.26","cm","3.17","3.32","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-36C0242E","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","4.495","cm","4.07","5.395","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-36C0242E","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","1.875","cm","1.78","1.97","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-36C0242E","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","2.005","cm","1.98","2.03","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-36C0242E","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","1.952","cm","1.78","2.03","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-36C0242E","BODY","MASS","Body measurements","Body mass","780.38","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-36C0242E","BODY","MASS","Body measurements","Body mass","783","g","766","1000","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-36C0242E","BODY","MASS_F","Body measurements","Body mass (females)","764.5","g","763","766","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-36C0242E","BODY","MASS_F","Body measurements","Body mass (females)","766","grams","","","","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-36C0242E","BODY","MASS_M","Body measurements","Body mass (males)","788","grams","","","","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-36C0242E","BODY","MASS_M","Body measurements","Body mass (males)","793.5","g","788","799","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-36C0242E","BODY","MASS_U","Body measurements","Body mass (sex unknown)","785","g","766","794","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-36C0242E","BODY","SVL","Body measurements","Snout-to-vent length (adults)","50.5","cm","50.5","50.5","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-36C0242E","BODY","TAIL_F","Body measurements","Tail length (females)","5.65","cm","","","31","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-36C0242E","BODY","TAIL_F","Body measurements","Tail length (females)","5.25","cm","4.7","5.8","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-36C0242E","BODY","TAIL_M","Body measurements","Tail length (males)","4.5","cm","4.2","4.8","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-36C0242E","BODY","TAIL_M","Body measurements","Tail length (males)","5.9","cm","","","28","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-36C0242E","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","5.24","cm","4.2","6.7","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-36C0242E","BODY","TARSUS_F","Body measurements","Tarsus length (females)","3.135","cm","3.12","3.15","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-36C0242E","BODY","TARSUS_F","Body measurements","Tarsus length (females)","3.96","cm","","","32","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-36C0242E","BODY","TARSUS_M","Body measurements","Tarsus length (males)","3.96","cm","","","32","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-36C0242E","BODY","TARSUS_M","Body measurements","Tarsus length (males)","3.525","cm","3.4","3.65","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-36C0242E","BODY","TARSUS_U","Body measurements","Tarsus length (sex unknown)","3.356","cm","3.12","3.65","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-36C0242E","BODY","WING_F","Body measurements","Wing length (females)","20.4","cm","20.4","20.4","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-36C0242E","BODY","WING_F","Body measurements","Wing length (females)","20.89","cm","","","23","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-36C0242E","BODY","WING_HWI_F","Body measurements","Hand-Wing Index (females)","116.85","%","116.4","117.3","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-36C0242E","BODY","WING_HWI_M","Body measurements","Hand-Wing Index (males)","112.5","%","101.7","123.3","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-36C0242E","BODY","WING_HWI_U","Body measurements","Hand-Wing Index (unknown)","114.675","%","101.7","123.3","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-36C0242E","BODY","WING_KIPPS_F","Body measurements","Kipps distance (females)","8.715","cm","8.67","8.76","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-36C0242E","BODY","WING_KIPPS_M","Body measurements","Kipps distance (males)","9.9","cm","9.67","10.13","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-36C0242E","BODY","WING_KIPPS_U","Body measurements","Kipps distance (unknown)","9.3075","cm","8.67","10.13","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-36C0242E","BODY","WING_M","Body measurements","Wing length (males)","21.15","cm","20.3","22","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-36C0242E","BODY","WING_M","Body measurements","Wing length (males)","21.75","cm","","","24","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-36C0242E","BODY","WING_SECOND1_F","Body measurements","Wing length (females) - secondary1","11.685","cm","11.64","11.73","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
