"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-F0C12CF9","DISTRIB","ANNUAL","Species distribution","Geographical range","Southeastern Brazil in states of Baia, Espirito Santo, Rio de Janeiro, Minas Gerais, Sao Paulo, Parana, Santa Catarina and Rio Grande do Sul.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-F0C12CF9","DISTRIB","ANNUAL","Species distribution","Geographical range","Atlantic forests of se Brazil to e Paraguay and ne Argentina","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-F0C12CF9","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-14.14","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F0C12CF9","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-30.21","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F0C12CF9","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-22.72","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F0C12CF9","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-47.43","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F0C12CF9","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F0C12CF9","DISTRIB","RANGE_SIZE","Species distribution","Total range size","930797.49","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F0C12CF9","DISTRIB","REALM","Species distribution","Realm","Neotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-F0C12CF9","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-F0C12CF9","HABITAT","ALT","Habitat","Altitude","","m","","1000","-1","Birdlife's Worldbird Database",""
"avibase-F0C12CF9","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F0C12CF9","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F0C12CF9","HABITAT","DESCR","Habitat","Habitat description","humid forest;lowlands","","","","","Sibley 1996",""
"avibase-F0C12CF9","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Fugivore glean","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-F0C12CF9","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-F0C12CF9","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F0C12CF9","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Frugivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F0C12CF9","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Frugivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-F0C12CF9","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","2.205","cm","2.11","2.3","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F0C12CF9","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","2.28633","cm","2.209","2.35","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F0C12CF9","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","2.236","cm","2.11","2.35","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F0C12CF9","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","5.065","cm","5.01","5.12","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F0C12CF9","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","5.91533","cm","5.786","6.08","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F0C12CF9","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","4.23","cm","4.23","4.23","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F0C12CF9","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","5.33","cm","5.32","5.34","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
