"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-2156EB72","DISTRIB","ANNUAL","Species distribution","Geographical range","Island of St. Lucia, Lesser Antilles.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-2156EB72","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","13.99","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2156EB72","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","13.79","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2156EB72","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","13.88","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2156EB72","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-60.97","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2156EB72","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2156EB72","DISTRIB","RANGE_SIZE","Species distribution","Total range size","142.22","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2156EB72","DISTRIB","REALM","Species distribution","Realm","Neotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-2156EB72","RANGE","RESTRICTED","Range and population size","Has restricted range?","Y","","","","-1","Birdlife's Worldbird Database",""
"avibase-2156EB72","HABITAT","ALT","Habitat","Altitude","","m","500","900","-1","Birdlife's Worldbird Database",""
"avibase-2156EB72","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
