"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-D36F4D98","DISTRIB","ANNUAL","Species distribution","Geographical range","African savanna country from Senegal, Portuguese Guinea and Sierra Leone to Eritrea, western Ethiopia and Uganda. Subject to migratory movements during the non-breeding season.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-D36F4D98","DISTRIB","ANNUAL","Species distribution","Geographical range","Intra-African migrant, light woodland: breeds Senegal, NW Liberia - SW Sudan, NW Uganda; after breeding moves north to edge of Sahara and east to W Ethiopia, W Kenya.","","","","-1","africanbirdclub.org","http://africanbirdclub.org/resources/checklist.html"
"avibase-D36F4D98","DISTRIB","ANNUAL","Species distribution","Geographical range","breeding season from Senegambia to Liberia, east to southwestern South Sudan, northeastern Democratic Republic of the Congo, and northwestern Uganda (present during the season in southern portion of this region, but breeding there not confirmed); winters north and east from southern Mauritania and northern Sengeal east to central Chad, southern Sudan, eastern South Sudan, central Uganda, Eritrea, western Ethiopia, and western Kenya","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-D36F4D98","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","15.4","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D36F4D98","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","1.23","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D36F4D98","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","8.37","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D36F4D98","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","6.14","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D36F4D98","DISTRIB","MIGRATION","Species distribution","Migration strategy","Partially migratory","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D36F4D98","DISTRIB","RANGE_SIZE","Species distribution","Total range size","3883244.3","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D36F4D98","DISTRIB","REALM","Species distribution","Realm","Afrotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
