"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-097783CD","DISTRIB","ANNUAL","Species distribution","Geographical range","Colombia to the Guianas, s Venezuela, c Argentina and c Chile","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-097783CD","DISTRIB","ANNUAL","Species distribution","Geographical range","Southern Brazil, Paraguay, Uruguay, south to northern Patagonia. Isolated in the Santa Marta district of Colombia.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-097783CD","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","11.2","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-097783CD","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-41.17","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-097783CD","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-24.33","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-097783CD","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-61.04","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-097783CD","DISTRIB","MIGRATION","Species distribution","Migration strategy","Migratory","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-097783CD","DISTRIB","RANGE_SIZE","Species distribution","Total range size","2399740.23","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-097783CD","DISTRIB","REALM","Species distribution","Realm","Neotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-097783CD","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-097783CD","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-097783CD","HABITAT","DESCR","Habitat","Habitat description","Wetland","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-097783CD","HABITAT","DESCR","Habitat","Habitat description","dense rushes, marshes;lowlands-500m","","","","","Sibley 1996",""
"avibase-097783CD","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Aquatic ground","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-097783CD","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-097783CD","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-097783CD","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Aquatic predator","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-097783CD","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Aquatic predator","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-097783CD","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.725","cm","0.72","0.73","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-097783CD","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.751333","cm","0.73","0.77","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-097783CD","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.7408","cm","0.72","0.77","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-097783CD","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","5.075","cm","5","5.15","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-097783CD","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","5.47367","cm","5.24","5.6","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-097783CD","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","3.51","cm","3.5","3.52","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-097783CD","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","3.75","cm","3.52","3.98","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-097783CD","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","3.63","cm","3.5","3.98","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-097783CD","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","5.3142","cm","5","5.6","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-097783CD","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","0.56","cm","0.55","0.57","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-097783CD","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","0.568","cm","0.53","0.62","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-097783CD","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.5648","cm","0.53","0.62","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-097783CD","BODY","MASS","Body measurements","Body mass","80.1","g","76.5","86.5","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-097783CD","BODY","MASS","Body measurements","Body mass","80.1","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-097783CD","BODY","MASS_M","Body measurements","Body mass (males)","76.5","g","76.5","76.5","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-097783CD","BODY","MASS_U","Body measurements","Body mass (sex unknown)","83.3","g","80.1","86.5","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-097783CD","BODY","SVL","Body measurements","Snout-to-vent length (adults)","30","cm","30","30","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-097783CD","BODY","TAIL_F","Body measurements","Tail length (females)","3.7","cm","3.6","3.8","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-097783CD","BODY","TAIL_M","Body measurements","Tail length (males)","4.73333","cm","4.5","5.2","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-097783CD","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","4.32","cm","3.6","5.2","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
