"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-61451A0A","DISTRIB","ANNUAL","Species distribution","Geographical range","South America: w, sw Amazonia","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-61451A0A","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","1.5","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-61451A0A","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-16.9","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-61451A0A","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-8.69","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-61451A0A","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-73.69","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-61451A0A","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-61451A0A","DISTRIB","RANGE_SIZE","Species distribution","Total range size","153775.14","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-61451A0A","DISTRIB","REALM","Species distribution","Realm","Neotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-61451A0A","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-61451A0A","HABITAT","ALT","Habitat","Altitude","","m","600","1200","-1","Birdlife's Worldbird Database",""
"avibase-61451A0A","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Semi-open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-61451A0A","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-61451A0A","HABITAT","DESCR","Habitat","Habitat description","humid forest undergrowth;Andes 400-1500m","","","","","Sibley 1996",""
"avibase-61451A0A","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Invertivore glean arboreal","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-61451A0A","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-61451A0A","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-61451A0A","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-61451A0A","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-61451A0A","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.311125","cm","0.268","0.414","8","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-61451A0A","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.317","cm","0.278","0.362","9","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-61451A0A","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.314235","cm","0.268","0.414","17","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-61451A0A","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","1.5815","cm","1.456","1.66","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-61451A0A","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","1.52","cm","1.52","1.52","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-61451A0A","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","0.8158","cm","0.78","0.894","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-61451A0A","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","0.884286","cm","0.815","0.959","7","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-61451A0A","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","0.85575","cm","0.78","0.959","12","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-61451A0A","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","1.5692","cm","1.456","1.66","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-61451A0A","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","0.316667","cm","0.275","0.371","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-61451A0A","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","0.353571","cm","0.337","0.407","7","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-61451A0A","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.336538","cm","0.275","0.407","13","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-61451A0A","BODY","MASS","Body measurements","Body mass","8.3","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-61451A0A","BODY","MASS","Body measurements","Body mass","8.3","g","8.3","8.3","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-61451A0A","BODY","MASS_M","Body measurements","Body mass (males)","8.3","g","8.3","8.3","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-61451A0A","BODY","TAIL_F","Body measurements","Tail length (females)","3.508","cm","3.2","3.761","8","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-61451A0A","BODY","TAIL_M","Body measurements","Tail length (males)","3.40456","cm","2.977","3.848","9","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-61451A0A","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","3.45324","cm","2.977","3.848","17","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-61451A0A","BODY","TARSUS_F","Body measurements","Tarsus length (females)","1.71513","cm","1.52","1.926","8","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-61451A0A","BODY","TARSUS_M","Body measurements","Tarsus length (males)","1.80856","cm","1.66","1.98","9","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-61451A0A","BODY","TARSUS_U","Body measurements","Tarsus length (sex unknown)","1.76459","cm","1.52","1.98","17","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-61451A0A","BODY","WING_F","Body measurements","Wing length (females)","4.772","cm","4.4","5","8","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-61451A0A","BODY","WING_HWI_F","Body measurements","Hand-Wing Index (females)","43.14","%","39.08","45.7","7","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-61451A0A","BODY","WING_HWI_M","Body measurements","Hand-Wing Index (males)","43.3822","%","39.5","46","9","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-61451A0A","BODY","WING_HWI_U","Body measurements","Hand-Wing Index (unknown)","43.2763","%","39.08","46","16","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-61451A0A","BODY","WING_KIPPS_F","Body measurements","Kipps distance (females)","0.47","cm","0.43","0.548","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-61451A0A","BODY","WING_KIPPS_M","Body measurements","Kipps distance (males)","0.606","cm","0.532","0.75","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-61451A0A","BODY","WING_KIPPS_U","Body measurements","Kipps distance (unknown)","0.521","cm","0.43","0.75","8","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-61451A0A","BODY","WING_M","Body measurements","Wing length (males)","4.83322","cm","4.6","5.347","9","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-61451A0A","BODY","WING_SECOND1_F","Body measurements","Wing length (females) - secondary1","4.314","cm","3.908","4.57","7","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-61451A0A","BODY","WING_SECOND1_M","Body measurements","Wing length (males) - secondary1","4.33822","cm","3.95","4.6","9","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-61451A0A","BODY","WING_SECOND1_U","Body measurements","Wing length (unknown) - secondary1","4.32762","cm","3.908","4.6","16","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-61451A0A","BODY","WING_U","Body measurements","Wing length (sex unknown)","4.80441","cm","4.4","5.347","17","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
