"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-3C8C3A31","DISTRIB","ANNUAL","Species distribution","Geographical range","Africa from Senegal, the Sudan and Ethiopia, south to South-West Africa, Cape Province and Natal; south of the Zambesi present only from October to March.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-3C8C3A31","DISTRIB","ANNUAL","Species distribution","Geographical range","Intra-African migrant, humid woodland: breeding visitor Senegal - C Ethiopia in Sudan savanna and from N Angola - S Kenya south to C Namibia - NE South Africa; non-breeding visitor in between, including much of forest area.","","","","-1","africanbirdclub.org","http://africanbirdclub.org/resources/checklist.html"
"avibase-3C8C3A31","DISTRIB","ANNUAL","Species distribution","Geographical range","Africa south of the Sahara","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-3C8C3A31","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","16.69","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3C8C3A31","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-27.61","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3C8C3A31","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-3.5","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3C8C3A31","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","21.1","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3C8C3A31","DISTRIB","MIGRATION","Species distribution","Migration strategy","Migratory","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3C8C3A31","DISTRIB","RANGE_SIZE","Species distribution","Total range size","9843346.04","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-3C8C3A31","DISTRIB","REALM","Species distribution","Realm","Afrotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
