"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-FE1C0F07","DISTRIB","ANNUAL","Species distribution","Geographical range","Sula Islands.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-FE1C0F07","DISTRIB","ANNUAL","Species distribution","Geographical range","Sula Is.","","","","","IOC 5.3","http://www.worldbirdnames.org/"
"avibase-FE1C0F07","DISTRIB","ANNUAL","Species distribution","Geographical range","Sula Islands (Taliabu, Seho, Mangole and Sanana)","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-FE1C0F07","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-1.63","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FE1C0F07","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-2.49","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FE1C0F07","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-1.88","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FE1C0F07","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","125.15","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FE1C0F07","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FE1C0F07","DISTRIB","RANGE_SIZE","Species distribution","Total range size","4678.51","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FE1C0F07","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FE1C0F07","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FE1C0F07","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FE1C0F07","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FE1C0F07","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.835","cm","0.82","0.85","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FE1C0F07","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.9","cm","0.9","0.9","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FE1C0F07","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.856667","cm","0.82","0.9","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FE1C0F07","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","4.03333","cm","3.91","4.14","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FE1C0F07","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","3.95667","cm","3.79","4.16","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FE1C0F07","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","3.225","cm","3.17","3.28","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FE1C0F07","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","3.34","cm","3.34","3.34","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FE1C0F07","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","3.26333","cm","3.17","3.34","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FE1C0F07","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","3.995","cm","3.79","4.16","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FE1C0F07","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","0.77","cm","0.75","0.79","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FE1C0F07","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","0.76","cm","0.76","0.76","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FE1C0F07","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.766667","cm","0.75","0.79","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FE1C0F07","BODY","MASS","Body measurements","Body mass","21.32","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FE1C0F07","BODY","TAIL_F","Body measurements","Tail length (females)","2.95","cm","2.9","3","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FE1C0F07","BODY","TAIL_M","Body measurements","Tail length (males)","2.87667","cm","2.8","2.93","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FE1C0F07","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","2.906","cm","2.8","3","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FE1C0F07","BODY","TARSUS_F","Body measurements","Tarsus length (females)","1.025","cm","1.01","1.04","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FE1C0F07","BODY","TARSUS_M","Body measurements","Tarsus length (males)","0.96","cm","0.96","0.96","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FE1C0F07","BODY","TARSUS_U","Body measurements","Tarsus length (sex unknown)","1.00333","cm","0.96","1.04","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FE1C0F07","BODY","WING_F","Body measurements","Wing length (females)","6.4","cm","6.16","6.64","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FE1C0F07","BODY","WING_HWI_F","Body measurements","Hand-Wing Index (females)","48.9","%","47.7","50.1","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FE1C0F07","BODY","WING_HWI_M","Body measurements","Hand-Wing Index (males)","47.7","%","47.7","47.7","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FE1C0F07","BODY","WING_HWI_U","Body measurements","Hand-Wing Index (unknown)","48.5","%","47.7","50.1","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FE1C0F07","BODY","WING_KIPPS_F","Body measurements","Kipps distance (females)","1.515","cm","1.39","1.64","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FE1C0F07","BODY","WING_KIPPS_M","Body measurements","Kipps distance (males)","1.54","cm","1.54","1.54","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FE1C0F07","BODY","WING_KIPPS_U","Body measurements","Kipps distance (unknown)","1.52333","cm","1.39","1.64","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FE1C0F07","BODY","WING_M","Body measurements","Wing length (males)","6.40333","cm","6.31","6.5","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FE1C0F07","BODY","WING_SECOND1_F","Body measurements","Wing length (females) - secondary1","4.89","cm","4.77","5.01","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FE1C0F07","BODY","WING_SECOND1_M","Body measurements","Wing length (males) - secondary1","4.77","cm","4.77","4.77","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FE1C0F07","BODY","WING_SECOND1_U","Body measurements","Wing length (unknown) - secondary1","4.85","cm","4.77","5.01","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-FE1C0F07","BODY","WING_U","Body measurements","Wing length (sex unknown)","6.40167","cm","6.16","6.64","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
