"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-735E9E38","DISTRIB","ANNUAL","Species distribution","Geographical range","Brazil (north bank of lower Amazon River in Pará)","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-735E9E38","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","2.17","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-735E9E38","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-2.34","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-735E9E38","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-1.5","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-735E9E38","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-54.09","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-735E9E38","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-735E9E38","DISTRIB","RANGE_SIZE","Species distribution","Total range size","19964.79","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-735E9E38","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Semi-open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-735E9E38","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-735E9E38","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
