"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-854F3163","DISTRIB","ANNUAL","Species distribution","Geographical range","Central America: Costa Rica and Panama","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-854F3163","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","9.86","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-854F3163","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","8.48","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-854F3163","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","9.24","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-854F3163","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-83.02","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-854F3163","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-854F3163","DISTRIB","RANGE_SIZE","Species distribution","Total range size","8001.11","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-854F3163","DISTRIB","REALM","Species distribution","Realm","Neotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-854F3163","RANGE","RESTRICTED","Range and population size","Has restricted range?","Y","","","","-1","Birdlife's Worldbird Database",""
"avibase-854F3163","HABITAT","ALT","Habitat","Altitude","","m","1200","3000","-1","Birdlife's Worldbird Database",""
"avibase-854F3163","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-854F3163","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-854F3163","HABITAT","DESCR","Habitat","Habitat description","Montane Evergreen Forest, Secondary Forest (1200-3000 m; Subtropical, rarely Tropical zones). ","","","","","AOU Checklist","http://www.aou.org/checklist/north/print.php"
"avibase-854F3163","HABITAT","DESCR","Habitat","Habitat description","humid montane forest, second growth;mountains 700-3000m","","","","","Sibley 1996",""
"avibase-854F3163","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
