"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-BD6F3561","DISTRIB","ANNUAL","Species distribution","Geographical range","Asia: widespread","","","","","IOC 9.2","http://www.worldbirdnames.org/"
"avibase-BD6F3561","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","35.64","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BD6F3561","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-2.07","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BD6F3561","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","23.41","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BD6F3561","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","103.36","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BD6F3561","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BD6F3561","DISTRIB","RANGE_SIZE","Species distribution","Total range size","2470997.29","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BD6F3561","DISTRIB","REALM","Species distribution","Realm","Indo_Malay","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-BD6F3561","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-BD6F3561","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BD6F3561","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BD6F3561","HABITAT","DESCR","Habitat","Habitat description","open forest, edge, woodland, scrub;mountains 800-3200m","","","","","http://www.noord.bart.nl/~edcolijn/bird.html","http://www.noord.bart.nl/~edcolijn/bird.html"
"avibase-BD6F3561","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Vertivore perch","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-BD6F3561","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-BD6F3561","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BD6F3561","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Vertivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BD6F3561","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Vertivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-BD6F3561","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","1.045","cm","1","1.09","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BD6F3561","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","1.07","cm","1.05","1.09","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BD6F3561","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","1.0575","cm","1","1.09","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BD6F3561","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","2.22","cm","2.14","2.3","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BD6F3561","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","1.93467","cm","1.324","2.27","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BD6F3561","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","1.11","cm","1.07","1.15","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BD6F3561","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","1.15","cm","1.08","1.22","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BD6F3561","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","1.13","cm","1.07","1.22","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BD6F3561","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","2.0488","cm","1.324","2.3","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BD6F3561","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","0.705","cm","0.69","0.72","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BD6F3561","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","0.653","cm","0.59","0.699","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BD6F3561","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.6738","cm","0.59","0.72","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BD6F3561","BODY","MASS","Body measurements","Body mass","56.875","g","55.05","63","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-BD6F3561","BODY","MASS","Body measurements","Body mass","59.39","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BD6F3561","BODY","MASS_F","Body measurements","Body mass (females)","63","g","63","63","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-BD6F3561","BODY","MASS_M","Body measurements","Body mass (males)","55.05","g","52.5","56","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-BD6F3561","BODY","SVL","Body measurements","Snout-to-vent length (adults)","15","cm","15","15","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-BD6F3561","BODY","TAIL_F","Body measurements","Tail length (females)","5.05","cm","5","5.1","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BD6F3561","BODY","TAIL_M","Body measurements","Tail length (males)","5.03333","cm","4.7","5.3","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BD6F3561","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","5.04","cm","4.7","5.3","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BD6F3561","BODY","TARSUS_F","Body measurements","Tarsus length (females)","1.695","cm","1.66","1.73","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BD6F3561","BODY","TARSUS_M","Body measurements","Tarsus length (males)","1.65767","cm","1.45","1.783","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BD6F3561","BODY","TARSUS_U","Body measurements","Tarsus length (sex unknown)","1.6726","cm","1.45","1.783","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BD6F3561","BODY","WING_F","Body measurements","Wing length (females)","9.45","cm","9.4","9.5","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BD6F3561","BODY","WING_HWI_F","Body measurements","Hand-Wing Index (females)","73.45","%","71.6","75.3","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BD6F3561","BODY","WING_HWI_M","Body measurements","Hand-Wing Index (males)","75.2","%","73","77.4","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BD6F3561","BODY","WING_HWI_U","Body measurements","Hand-Wing Index (unknown)","74.325","%","71.6","77.4","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BD6F3561","BODY","WING_KIPPS_F","Body measurements","Kipps distance (females)","2.105","cm","1.97","2.24","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BD6F3561","BODY","WING_KIPPS_M","Body measurements","Kipps distance (males)","1.78","cm","1.76","1.8","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BD6F3561","BODY","WING_KIPPS_U","Body measurements","Kipps distance (unknown)","1.9425","cm","1.76","2.24","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BD6F3561","BODY","WING_M","Body measurements","Wing length (males)","9.13333","cm","8.8","9.5","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BD6F3561","BODY","WING_SECOND1_F","Body measurements","Wing length (females) - secondary1","7.345","cm","7.16","7.53","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BD6F3561","BODY","WING_SECOND1_M","Body measurements","Wing length (males) - secondary1","7.52","cm","7.3","7.74","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BD6F3561","BODY","WING_SECOND1_U","Body measurements","Wing length (unknown) - secondary1","7.4325","cm","7.16","7.74","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BD6F3561","BODY","WING_U","Body measurements","Wing length (sex unknown)","9.26","cm","8.8","9.5","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-BD6F3561","EGGS","MASS","Eggs","Egg mass","8.6","g","8.6","8.6","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-BD6F3561","REPROD","CLUTCHSZ","Reproduction","Clutch size","4","n","4","4.2","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
