"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-D839DB1A","DISTRIB","ANNUAL","Species distribution","Geographical range","Eastern Tibet and southwestern China in provinces of Szechuan and Yunnan.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-D839DB1A","DISTRIB","ANNUAL","Species distribution","Geographical range","mountains of eastern Tibet and southwestern China","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-D839DB1A","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","33.68","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D839DB1A","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","25.58","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D839DB1A","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","30.15","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D839DB1A","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","97.98","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D839DB1A","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D839DB1A","DISTRIB","RANGE_SIZE","Species distribution","Total range size","524228.72","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D839DB1A","DISTRIB","REALM","Species distribution","Realm","Palearctic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-D839DB1A","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-D839DB1A","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Semi-open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D839DB1A","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
