"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-83F61B45","DISTRIB","ANNUAL","Species distribution","Geographical range","Andes of s Peru and w Bolivia (Lake Titicaca basin)","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-83F61B45","DISTRIB","ANNUAL","Species distribution","Geographical range","Lake Titicaca, Bolivia.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-83F61B45","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-15.09","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-83F61B45","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-19.3","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-83F61B45","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-17.08","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-83F61B45","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-68.32","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-83F61B45","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-83F61B45","DISTRIB","RANGE_SIZE","Species distribution","Total range size","48882.25","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-83F61B45","DISTRIB","REALM","Species distribution","Realm","Neotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-83F61B45","RANGE","RESTRICTED","Range and population size","Has restricted range?","Y","","","","-1","Birdlife's Worldbird Database",""
"avibase-83F61B45","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-83F61B45","HABITAT","DESCR","Habitat","Habitat description","Wetland","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-83F61B45","HABITAT","DESCR","Habitat","Habitat description","lake shallows;Andes","","","","","Sibley 1996",""
"avibase-83F61B45","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Aquatic dive","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-83F61B45","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-83F61B45","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-83F61B45","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Aquatic predator","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-83F61B45","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Aquatic predator","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-83F61B45","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.91","cm","0.91","0.91","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-83F61B45","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.927333","cm","0.882","0.99","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-83F61B45","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.9504","cm","0.882","1.06","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-83F61B45","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","3.8","cm","3.8","3.8","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-83F61B45","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","4.16667","cm","4.02","4.32","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-83F61B45","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","1.71","cm","1.71","1.71","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-83F61B45","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","2.12","cm","2.1","2.14","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-83F61B45","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","2.0725","cm","1.71","2.34","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-83F61B45","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","4.138","cm","3.8","4.39","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-83F61B45","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","0.67","cm","0.67","0.67","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-83F61B45","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","0.678","cm","0.624","0.75","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-83F61B45","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.6828","cm","0.624","0.75","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-83F61B45","BODY","MASS","Body measurements","Body mass","706","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-83F61B45","BODY","MASS","Body measurements","Body mass","706","g","706","706","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-83F61B45","BODY","MASS_U","Body measurements","Body mass (sex unknown)","706","g","706","706","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-83F61B45","BODY","TAIL_F","Body measurements","Tail length (females)","2.4","cm","2.4","2.4","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-83F61B45","BODY","TAIL_M","Body measurements","Tail length (males)","3.16667","cm","2.5","3.9","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
