"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-B86C504C","DISTRIB","ANNUAL","Species distribution","Geographical range","Now breeds from British Columbia to the west shore of Hudson Bay and locally to Wyoming; in winter south to southern California and Texas and casually further east.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-B86C504C","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","68.03","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B86C504C","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","38.72","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B86C504C","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","57.77","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B86C504C","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-130.2","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B86C504C","DISTRIB","MIGRATION","Species distribution","Migration strategy","Migratory","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B86C504C","DISTRIB","RANGE_SIZE","Species distribution","Total range size","1375549.41","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B86C504C","DISTRIB","REALM","Species distribution","Realm","Nearctic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-B86C504C","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-B86C504C","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B86C504C","HABITAT","DESCR","Habitat","Habitat description","Wetland","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B86C504C","HABITAT","DESCR","Habitat","Habitat description","Ponds, lakes, marshes, and slow-moving rivers, especially where reeds, sedges, or similar emergent vegetation that provide nesting habitat, occasionally in brackish situations; winters on open lakes and bays, occasionally ponds, and often feeds in agricultural fields. ","","","","","AOU Checklist","http://www.aou.org/checklist/north/print.php"
"avibase-B86C504C","HABITAT","DESCR","Habitat","Habitat description","marshes, lakes, ponds","","","","","Sibley 1996",""
"avibase-B86C504C","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Herbivore aquatic surface","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-B86C504C","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-B86C504C","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B86C504C","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Herbivore aquatic","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B86C504C","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Herbivore aquatic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-B86C504C","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","2.38","cm","2.38","2.38","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B86C504C","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","3.01","cm","3.01","3.01","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B86C504C","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","2.76667","cm","2.38","3.01","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-B86C504C","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","9.85","cm","9.85","9.85","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
