"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-73CC49C7","DISTRIB","ANNUAL","Species distribution","Geographical range","Eastern Venezuela and the Guianas; Island of Trinidad. Attributed to northeastern Brazil but no recent records.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-73CC49C7","DISTRIB","ANNUAL","Species distribution","Geographical range","E Venezuela, Trinidad and the Guianas to n Brazil","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-73CC49C7","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","10.84","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-73CC49C7","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","0.11","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-73CC49C7","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","4.4","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-73CC49C7","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-58.52","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-73CC49C7","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-73CC49C7","DISTRIB","RANGE_SIZE","Species distribution","Total range size","827835.42","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-73CC49C7","DISTRIB","REALM","Species distribution","Realm","Neotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-73CC49C7","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-73CC49C7","HABITAT","ALT","Habitat","Altitude","","m","","950","-1","Birdlife's Worldbird Database",""
"avibase-73CC49C7","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Semi-open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-73CC49C7","HABITAT","DESCR","Habitat","Habitat description","Human Modified","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-73CC49C7","HABITAT","DESCR","Habitat","Habitat description","edges of humid forest, gallery forest, thickets, cultivated areas, plantations, savannas;100-1000m","","","","","Sibley 1996",""
"avibase-73CC49C7","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Omnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-73CC49C7","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Omnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-73CC49C7","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Omnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-73CC49C7","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Omnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-73CC49C7","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.13","cm","0.12","0.14","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-73CC49C7","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.116333","cm","0.09","0.14","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-73CC49C7","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.1218","cm","0.09","0.14","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-73CC49C7","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","1.205","cm","1.16","1.25","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-73CC49C7","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","1.20333","cm","1.17","1.24","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-73CC49C7","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","1","cm","0.99","1.01","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-73CC49C7","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","0.825","cm","0.8","0.85","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-73CC49C7","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","0.9125","cm","0.8","1.01","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-73CC49C7","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","1.204","cm","1.16","1.25","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-73CC49C7","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","0.11","cm","0.11","0.11","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-73CC49C7","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","0.118333","cm","0.1","0.145","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-73CC49C7","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.115","cm","0.1","0.145","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-73CC49C7","BODY","MASS","Body measurements","Body mass","2.3","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-73CC49C7","BODY","MASS","Body measurements","Body mass","2.4","g","2.3","2.5","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-73CC49C7","BODY","MASS_F","Body measurements","Body mass (females)","2.75","g","2.75","2.75","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-73CC49C7","BODY","MASS_M","Body measurements","Body mass (males)","2.25","g","2.25","2.25","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-73CC49C7","BODY","MASS_U","Body measurements","Body mass (sex unknown)","2.3","g","2.3","2.3","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-73CC49C7","BODY","TAIL_F","Body measurements","Tail length (females)","2.35","cm","2.2","2.5","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-73CC49C7","BODY","TAIL_M","Body measurements","Tail length (males)","2.56667","cm","2.3","3","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-73CC49C7","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","2.48","cm","2.2","3","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-73CC49C7","BODY","TARSUS_F","Body measurements","Tarsus length (females)","0.745","cm","0.62","0.87","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-73CC49C7","BODY","TARSUS_M","Body measurements","Tarsus length (males)","0.56","cm","0.43","0.65","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-73CC49C7","BODY","TARSUS_U","Body measurements","Tarsus length (sex unknown)","0.634","cm","0.43","0.87","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-73CC49C7","BODY","WING_F","Body measurements","Wing length (females)","3.55","cm","3.5","3.6","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-73CC49C7","BODY","WING_HWI_F","Body measurements","Hand-Wing Index (females)","11.5","%","11","12","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-73CC49C7","BODY","WING_HWI_M","Body measurements","Hand-Wing Index (males)","11.5","%","10","13","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-73CC49C7","BODY","WING_HWI_U","Body measurements","Hand-Wing Index (unknown)","11.5","%","10","13","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-73CC49C7","BODY","WING_KIPPS_F","Body measurements","Kipps distance (females)","2.4","cm","2.4","2.4","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-73CC49C7","BODY","WING_KIPPS_M","Body measurements","Kipps distance (males)","2.65","cm","2.6","2.7","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-73CC49C7","BODY","WING_KIPPS_U","Body measurements","Kipps distance (unknown)","2.525","cm","2.4","2.7","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-73CC49C7","BODY","WING_M","Body measurements","Wing length (males)","3.83333","cm","3.7","3.9","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
