"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-8564E262","DISTRIB","ANNUAL","Species distribution","Geographical range","Central America: s, se Mexico to nw Costa Rica","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-8564E262","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","21.62","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8564E262","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","9.55","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8564E262","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","16.3","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8564E262","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-88.53","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8564E262","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8564E262","DISTRIB","RANGE_SIZE","Species distribution","Total range size","242415.12","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8564E262","DISTRIB","REALM","Species distribution","Realm","Neotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-8564E262","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-8564E262","HABITAT","ALT","Habitat","Altitude","","m","","900","-1","Birdlife's Worldbird Database",""
"avibase-8564E262","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Semi-open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8564E262","HABITAT","DESCR","Habitat","Habitat description","Woodland","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8564E262","HABITAT","DESCR","Habitat","Habitat description","Tropical Deciduous Forest, Gallery Forest, Secondary Forest (0-1400 m; Tropical Zone). ","","","","","AOU Checklist","http://www.aou.org/checklist/north/print.php"
"avibase-8564E262","HABITAT","DESCR","Habitat","Habitat description","open woodland, scrub, fencerows;lowlands","","","","","Sibley 1996",""
"avibase-8564E262","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Generalist","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-8564E262","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-8564E262","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8564E262","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8564E262","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-8564E262","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","1.01","cm","0.99","1.03","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8564E262","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","1.00833","cm","0.975","1.04","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8564E262","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","1.009","cm","0.975","1.04","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8564E262","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","4.13","cm","4.12","4.14","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8564E262","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","4.306","cm","4.21","4.36","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8564E262","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","3.065","cm","3.03","3.1","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8564E262","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","3.14","cm","3.14","3.14","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8564E262","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","3.1025","cm","3.03","3.14","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8564E262","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","4.2356","cm","4.12","4.36","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8564E262","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","1.17","cm","1.14","1.2","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8564E262","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","1.198","cm","1.17","1.23","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8564E262","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","1.1868","cm","1.14","1.23","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8564E262","BODY","MASS","Body measurements","Body mass","61.75","g","58.8","65","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-8564E262","BODY","MASS","Body measurements","Body mass","62.5","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8564E262","BODY","MASS_U","Body measurements","Body mass (sex unknown)","61","g","58.8","62.5","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-8564E262","BODY","TAIL_F","Body measurements","Tail length (females)","9.75","cm","9.6","9.9","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
