"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-90A9B4AC","DISTRIB","ANNUAL","Species distribution","Geographical range","Eastern Madagascar in humid forest.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-90A9B4AC","DISTRIB","ANNUAL","Species distribution","Geographical range","Resident, forest: all of E Madagascar.","","","","-1","africanbirdclub.org","http://africanbirdclub.org/resources/checklist.html"
"avibase-90A9B4AC","DISTRIB","ANNUAL","Species distribution","Geographical range","Humid montane slopes of e Madagascar","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-90A9B4AC","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-13.36","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-90A9B4AC","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-24.99","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-90A9B4AC","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-17.76","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-90A9B4AC","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","48.64","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-90A9B4AC","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-90A9B4AC","DISTRIB","RANGE_SIZE","Species distribution","Total range size","46337.01","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-90A9B4AC","DISTRIB","REALM","Species distribution","Realm","Madagascar","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-90A9B4AC","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-90A9B4AC","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-90A9B4AC","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-90A9B4AC","HABITAT","DESCR","Habitat","Habitat description","forest, edge;mountains-1800m","","","","","Sibley 1996",""
"avibase-90A9B4AC","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Fugivore glean","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-90A9B4AC","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-90A9B4AC","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-90A9B4AC","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Frugivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-90A9B4AC","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Frugivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-90A9B4AC","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.5","cm","0.49","0.51","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-90A9B4AC","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.52625","cm","0.45","0.62","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-90A9B4AC","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.5175","cm","0.45","0.62","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-90A9B4AC","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","2.055","cm","2.04","2.07","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-90A9B4AC","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","1.87","cm","1.81","1.99","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-90A9B4AC","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","1.19","cm","1.13","1.24","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-90A9B4AC","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","1.12667","cm","1.08","1.21","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-90A9B4AC","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","1.15833","cm","1.08","1.24","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-90A9B4AC","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","1.944","cm","1.81","2.07","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-90A9B4AC","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","0.543333","cm","0.45","0.68","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-90A9B4AC","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","0.506","cm","0.46","0.55","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-90A9B4AC","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.522","cm","0.45","0.68","7","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-90A9B4AC","BODY","MASS","Body measurements","Body mass","35.65","g","35.4","35.9","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-90A9B4AC","BODY","MASS","Body measurements","Body mass","35.4","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-90A9B4AC","BODY","MASS_U","Body measurements","Body mass (sex unknown)","35.65","g","35.4","35.9","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-90A9B4AC","BODY","TAIL_F","Body measurements","Tail length (females)","4.20333","cm","3.6","5.21","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-90A9B4AC","BODY","TAIL_M","Body measurements","Tail length (males)","4.2275","cm","4","4.71","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-90A9B4AC","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","4.21714","cm","3.6","5.21","7","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-90A9B4AC","BODY","TARSUS_F","Body measurements","Tarsus length (females)","2.12333","cm","1.87","2.31","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-90A9B4AC","BODY","TARSUS_M","Body measurements","Tarsus length (males)","2.16733","cm","1.91","2.452","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-90A9B4AC","BODY","TARSUS_U","Body measurements","Tarsus length (sex unknown)","2.14533","cm","1.87","2.452","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-90A9B4AC","BODY","WING_F","Body measurements","Wing length (females)","7.76667","cm","7.3","8.2","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-90A9B4AC","BODY","WING_HWI_F","Body measurements","Hand-Wing Index (females)","64.2","%","61","67","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-90A9B4AC","BODY","WING_HWI_M","Body measurements","Hand-Wing Index (males)","63.3667","%","59.7","67.8","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-90A9B4AC","BODY","WING_HWI_U","Body measurements","Hand-Wing Index (unknown)","63.7833","%","59.7","67.8","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-90A9B4AC","BODY","WING_KIPPS_F","Body measurements","Kipps distance (females)","1.35","cm","1.2","1.5","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-90A9B4AC","BODY","WING_KIPPS_M","Body measurements","Kipps distance (males)","1.035","cm","0.93","1.14","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-90A9B4AC","BODY","WING_KIPPS_U","Body measurements","Kipps distance (unknown)","1.1925","cm","0.93","1.5","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-90A9B4AC","BODY","WING_M","Body measurements","Wing length (males)","7.735","cm","6.9","8.44","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-90A9B4AC","BODY","WING_SECOND1_F","Body measurements","Wing length (females) - secondary1","6.42","cm","6.1","6.7","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-90A9B4AC","BODY","WING_SECOND1_M","Body measurements","Wing length (males) - secondary1","6.33667","cm","5.97","6.78","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-90A9B4AC","BODY","WING_SECOND1_U","Body measurements","Wing length (unknown) - secondary1","6.37833","cm","5.97","6.78","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-90A9B4AC","BODY","WING_U","Body measurements","Wing length (sex unknown)","7.74857","cm","6.9","8.44","7","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
