"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-9CAB5D95","DISTRIB","ANNUAL","Species distribution","Geographical range","South America: Amazonia and sc, se","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-9CAB5D95","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","7.84","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9CAB5D95","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-30.18","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9CAB5D95","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-10.93","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9CAB5D95","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-54.81","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9CAB5D95","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9CAB5D95","DISTRIB","RANGE_SIZE","Species distribution","Total range size","5113618.06","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9CAB5D95","DISTRIB","REALM","Species distribution","Realm","Neotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-9CAB5D95","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9CAB5D95","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9CAB5D95","HABITAT","DESCR","Habitat","Habitat description","in northern part of range, mainly edges of cloud and rainforest & gallery forest;50m to 1250m;in E & S Brazil, more open habitats with scrub, caatinga or campo cerrado;also parks & gardens;mostly below 900m.","","","","","Sibley 1996",""
"avibase-9CAB5D95","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Nectarivore aerial","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-9CAB5D95","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-9CAB5D95","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9CAB5D95","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Nectarivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9CAB5D95","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Nectarivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-9CAB5D95","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.19","cm","0.17","0.21","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9CAB5D95","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.187","cm","0.161","0.23","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
