"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-2CF120F2","DISTRIB","ANNUAL","Species distribution","Geographical range","Confined to eastern Panama where known only from Cerro Azul and the Rio Tuyra valley.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-2CF120F2","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","9.52","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2CF120F2","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","7.89","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2CF120F2","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","8.68","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2CF120F2","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-78.17","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2CF120F2","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2CF120F2","DISTRIB","RANGE_SIZE","Species distribution","Total range size","2852.72","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2CF120F2","DISTRIB","REALM","Species distribution","Realm","Neotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-2CF120F2","RANGE","RESTRICTED","Range and population size","Has restricted range?","Y","","","","-1","Birdlife's Worldbird Database",""
"avibase-2CF120F2","HABITAT","ALT","Habitat","Altitude","","m","600","1000","-1","Birdlife's Worldbird Database",""
"avibase-2CF120F2","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2CF120F2","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2CF120F2","HABITAT","DESCR","Habitat","Habitat description","Tropical Lowland Evergreen Forest (600-1000 m; Subtropical Zone). ","","","","","AOU Checklist","http://www.aou.org/checklist/north/print.php"
"avibase-2CF120F2","HABITAT","DESCR","Habitat","Habitat description","humid forest and forest edges;highlands 600-1200m, commonest around 900m","","","","","Sibley 1996",""
"avibase-2CF120F2","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Nectarivore aerial","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-2CF120F2","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-2CF120F2","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2CF120F2","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Nectarivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2CF120F2","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Nectarivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-2CF120F2","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.215","cm","0.18","0.25","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2CF120F2","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.2","cm","0.18","0.22","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2CF120F2","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.2075","cm","0.18","0.25","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2CF120F2","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","2.155","cm","2.15","2.16","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2CF120F2","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","2.19","cm","2.11","2.27","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2CF120F2","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","1.89","cm","1.87","1.91","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2CF120F2","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","1.9","cm","1.85","1.95","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2CF120F2","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","1.895","cm","1.85","1.95","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2CF120F2","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","2.1725","cm","2.11","2.27","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2CF120F2","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","0.25","cm","0.25","0.25","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2CF120F2","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","0.295","cm","0.29","0.3","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2CF120F2","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.2725","cm","0.25","0.3","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2CF120F2","BODY","MASS","Body measurements","Body mass","3.975","g","3.85","4.1","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-2CF120F2","BODY","MASS","Body measurements","Body mass","4.1","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2CF120F2","BODY","MASS_U","Body measurements","Body mass (sex unknown)","3.975","g","3.85","4.1","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-2CF120F2","BODY","TAIL_F","Body measurements","Tail length (females)","2.67","cm","2.52","2.82","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2CF120F2","BODY","TAIL_M","Body measurements","Tail length (males)","2.94","cm","2.69","3.19","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2CF120F2","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","2.805","cm","2.52","3.19","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2CF120F2","BODY","TARSUS_F","Body measurements","Tarsus length (females)","0.37","cm","0.37","0.37","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2CF120F2","BODY","TARSUS_M","Body measurements","Tarsus length (males)","0.375","cm","0.37","0.38","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2CF120F2","BODY","TARSUS_U","Body measurements","Tarsus length (sex unknown)","0.373333","cm","0.37","0.38","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2CF120F2","BODY","WING_F","Body measurements","Wing length (females)","4.925","cm","4.71","5.14","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2CF120F2","BODY","WING_HWI_F","Body measurements","Hand-Wing Index (females)","16.45","%","14.7","18.2","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2CF120F2","BODY","WING_HWI_M","Body measurements","Hand-Wing Index (males)","17.4","%","16.2","18.6","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2CF120F2","BODY","WING_HWI_U","Body measurements","Hand-Wing Index (unknown)","16.925","%","14.7","18.6","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2CF120F2","BODY","WING_KIPPS_F","Body measurements","Kipps distance (females)","3.28","cm","3.24","3.32","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2CF120F2","BODY","WING_KIPPS_M","Body measurements","Kipps distance (males)","3.225","cm","3.11","3.34","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2CF120F2","BODY","WING_KIPPS_U","Body measurements","Kipps distance (unknown)","3.2525","cm","3.11","3.34","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2CF120F2","BODY","WING_M","Body measurements","Wing length (males)","4.965","cm","4.72","5.21","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2CF120F2","BODY","WING_SECOND1_F","Body measurements","Wing length (females) - secondary1","1.645","cm","1.47","1.82","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2CF120F2","BODY","WING_SECOND1_M","Body measurements","Wing length (males) - secondary1","1.74","cm","1.62","1.86","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2CF120F2","BODY","WING_SECOND1_U","Body measurements","Wing length (unknown) - secondary1","1.6925","cm","1.47","1.86","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2CF120F2","BODY","WING_U","Body measurements","Wing length (sex unknown)","4.945","cm","4.71","5.21","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
