"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-E3180F5D","DISTRIB","ANNUAL","Species distribution","Geographical range","Amazonian Ecuador and Peru east to Manaos and western Matto Grosso.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-E3180F5D","DISTRIB","ANNUAL","Species distribution","Geographical range","Humid se Colombia to n Bolivia and w Amazonian Brazil","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-E3180F5D","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","1.01","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E3180F5D","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-14.92","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E3180F5D","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-7.58","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E3180F5D","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-68.46","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E3180F5D","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E3180F5D","DISTRIB","RANGE_SIZE","Species distribution","Total range size","27067.59","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E3180F5D","DISTRIB","REALM","Species distribution","Realm","Neotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-E3180F5D","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-E3180F5D","HABITAT","ALT","Habitat","Altitude","","m","","300","-1","Birdlife's Worldbird Database",""
"avibase-E3180F5D","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E3180F5D","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E3180F5D","HABITAT","DESCR","Habitat","Habitat description","lowland, riverine humid forest;in dry season around rivers;possibly migrate from varzea to terra firme in wet season;2.5K-10K.birds, declining","","","","","Sibley 1996",""
"avibase-E3180F5D","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Generalist","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-E3180F5D","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-E3180F5D","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E3180F5D","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Frugivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E3180F5D","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Frugivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-E3180F5D","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","1.92","cm","1.58","2.26","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E3180F5D","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","2.125","cm","1.92","2.33","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E3180F5D","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","2.0225","cm","1.58","2.33","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E3180F5D","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","4.525","cm","4.32","4.73","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E3180F5D","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","5.285","cm","4.82","5.75","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E3180F5D","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","1.96","cm","1.75","2.17","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E3180F5D","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","2.29","cm","2.24","2.34","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E3180F5D","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","2.125","cm","1.75","2.34","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E3180F5D","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","4.905","cm","4.32","5.75","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E3180F5D","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","1.135","cm","0.93","1.34","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E3180F5D","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","1.255","cm","1.18","1.33","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E3180F5D","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","1.195","cm","0.93","1.34","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E3180F5D","BODY","MASS","Body measurements","Body mass","2500","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E3180F5D","BODY","MASS","Body measurements","Body mass","2500","g","2500","2500","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-E3180F5D","BODY","MASS_F","Body measurements","Body mass (females)","2500","g","2500","2500","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-E3180F5D","BODY","MASS_U","Body measurements","Body mass (sex unknown)","2500","g","2500","2500","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-E3180F5D","BODY","SVL","Body measurements","Snout-to-vent length (adults)","85.5","cm","85.5","85.5","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-E3180F5D","BODY","TAIL_F","Body measurements","Tail length (females)","31.15","cm","30.7","31.6","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E3180F5D","BODY","TAIL_M","Body measurements","Tail length (males)","31.15","cm","31.1","31.2","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E3180F5D","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","31.15","cm","30.7","31.6","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E3180F5D","BODY","TARSUS_F","Body measurements","Tarsus length (females)","9.66","cm","9.66","9.66","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
