"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-556137A4","DISTRIB","ANNUAL","Species distribution","Geographical range","Indon, PNG, Batanta, Beo, Misool, Pulu Adi, Salawati, Waigeo, New Guinea, Waigeo, New Guinea","","","","-1","www.birdsofmelanesia.net","http://www.birdsofmelanesia.net/"
"avibase-556137A4","DISTRIB","ANNUAL","Species distribution","Geographical range","northwestern New Guinea (Bird's Head and Bird's Neck) and adjacent islands (Waigeo, Batanta, Salawati, and Misool)","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-556137A4","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-0.01","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-556137A4","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-4.3","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-556137A4","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-2.38","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-556137A4","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","133.22","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-556137A4","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-556137A4","DISTRIB","RANGE_SIZE","Species distribution","Total range size","80538.98","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-556137A4","DISTRIB","REALM","Species distribution","Realm","Australian","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-556137A4","RANGE","RESTRICTED","Range and population size","Has restricted range?","Y","","","","-1","Birdlife's Worldbird Database",""
"avibase-556137A4","HABITAT","ALT","Habitat","Altitude","","m","","350","-1","Birdlife's Worldbird Database",""
"avibase-556137A4","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Semi-open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-556137A4","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-556137A4","HABITAT","DESCR","Habitat","Habitat description","wet lowland forest, swamps;lowlands-150m","","","","","http://www.noord.bart.nl/~edcolijn/bird.html","http://www.noord.bart.nl/~edcolijn/bird.html"
"avibase-556137A4","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-556137A4","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-556137A4","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Omnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-556137A4","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Omnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-556137A4","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.835","cm","0.73","0.94","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-556137A4","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","1.06","cm","1.05","1.07","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-556137A4","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.9475","cm","0.73","1.07","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-556137A4","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","4.3","cm","4.07","4.53","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-556137A4","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","4.355","cm","4.15","4.56","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-556137A4","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","2.665","cm","2.5","2.83","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-556137A4","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","2.895","cm","2.87","2.92","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-556137A4","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","2.78","cm","2.5","2.92","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-556137A4","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","4.3275","cm","4.07","4.56","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-556137A4","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","0.795","cm","0.76","0.83","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-556137A4","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","0.905","cm","0.9","0.91","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-556137A4","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.85","cm","0.76","0.91","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-556137A4","BODY","MASS","Body measurements","Body mass","2000","g","2000","2000","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-556137A4","BODY","MASS","Body measurements","Body mass","2000","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-556137A4","BODY","MASS_F","Body measurements","Body mass (females)","2000","g","2000","2000","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-556137A4","BODY","MASS_U","Body measurements","Body mass (sex unknown)","2000","g","2000","2000","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-556137A4","BODY","TAIL_F","Body measurements","Tail length (females)","23.85","cm","23","24.7","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-556137A4","BODY","TAIL_M","Body measurements","Tail length (males)","28.15","cm","28","28.3","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-556137A4","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","26","cm","23","28.3","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-556137A4","BODY","TARSUS_F","Body measurements","Tarsus length (females)","9.7","cm","9.5","9.9","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-556137A4","BODY","TARSUS_M","Body measurements","Tarsus length (males)","10.55","cm","10.1","11","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-556137A4","BODY","TARSUS_U","Body measurements","Tarsus length (sex unknown)","10.125","cm","9.5","11","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-556137A4","BODY","WING_F","Body measurements","Wing length (females)","34.05","cm","32.6","35.5","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-556137A4","BODY","WING_HWI_F","Body measurements","Hand-Wing Index (females)","279","%","263","295","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-556137A4","BODY","WING_HWI_M","Body measurements","Hand-Wing Index (males)","307","%","292","322","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-556137A4","BODY","WING_HWI_U","Body measurements","Hand-Wing Index (unknown)","293","%","263","322","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-556137A4","BODY","WING_KIPPS_F","Body measurements","Kipps distance (females)","6.15","cm","6","6.3","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-556137A4","BODY","WING_KIPPS_M","Body measurements","Kipps distance (males)","6.35","cm","6.3","6.4","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-556137A4","BODY","WING_KIPPS_U","Body measurements","Kipps distance (unknown)","6.25","cm","6","6.4","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-556137A4","BODY","WING_M","Body measurements","Wing length (males)","37.05","cm","35.5","38.6","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
