"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-66D85117","DISTRIB","ANNUAL","Species distribution","Geographical range","Forests of French Guinea, Liberia, Gold Coast, Cameroon and Portuguese Congo.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-66D85117","DISTRIB","ANNUAL","Species distribution","Geographical range","Sierra Leone to northern Democratic Republic of the Congo (west of the Congo River)","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-66D85117","DISTRIB","ANNUAL","Species distribution","Geographical range","Guinea and Sierra Leone to Gabon and Congo","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-66D85117","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","9","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-66D85117","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-4.45","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-66D85117","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","4.01","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-66D85117","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","5.56","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-66D85117","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-66D85117","DISTRIB","RANGE_SIZE","Species distribution","Total range size","1163200.91","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-66D85117","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-66D85117","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-66D85117","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-66D85117","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-66D85117","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","2.137","cm","2.081","2.24","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-66D85117","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","2.3596","cm","2.321","2.384","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-66D85117","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","2.27613","cm","2.081","2.384","8","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-66D85117","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","5.355","cm","5.16","5.56","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-66D85117","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","6.7244","cm","6.55","7.039","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-66D85117","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","4.315","cm","4.11","4.52","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-66D85117","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","5.425","cm","5.38","5.47","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-66D85117","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","4.87","cm","4.11","5.47","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-66D85117","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","6.21088","cm","5.16","7.039","8","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-66D85117","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","1.56233","cm","1.56","1.567","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-66D85117","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","1.6706","cm","1.631","1.73","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-66D85117","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","1.63","cm","1.56","1.73","8","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-66D85117","BODY","MASS","Body measurements","Body mass","98.49","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-66D85117","BODY","TAIL_F","Body measurements","Tail length (females)","15.0667","cm","13.6","16","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-66D85117","BODY","TAIL_M","Body measurements","Tail length (males)","17.2","cm","15.6","20.5","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-66D85117","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","16.4","cm","13.6","20.5","8","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-66D85117","BODY","TARSUS_F","Body measurements","Tarsus length (females)","2.224","cm","2.05","2.332","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-66D85117","BODY","TARSUS_M","Body measurements","Tarsus length (males)","2.4352","cm","2.3","2.741","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-66D85117","BODY","TARSUS_U","Body measurements","Tarsus length (sex unknown)","2.356","cm","2.05","2.741","8","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-66D85117","BODY","WING_F","Body measurements","Wing length (females)","13.8333","cm","12.9","14.9","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-66D85117","BODY","WING_HWI_F","Body measurements","Hand-Wing Index (females)","119.25","%","110.9","127.6","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-66D85117","BODY","WING_HWI_M","Body measurements","Hand-Wing Index (males)","120.85","%","119","122.7","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-66D85117","BODY","WING_HWI_U","Body measurements","Hand-Wing Index (unknown)","120.05","%","110.9","127.6","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-66D85117","BODY","WING_KIPPS_F","Body measurements","Kipps distance (females)","1.975","cm","1.81","2.14","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-66D85117","BODY","WING_KIPPS_M","Body measurements","Kipps distance (males)","2.965","cm","2.8","3.13","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-66D85117","BODY","WING_KIPPS_U","Body measurements","Kipps distance (unknown)","2.47","cm","1.81","3.13","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-66D85117","BODY","WING_M","Body measurements","Wing length (males)","15.26","cm","14.7","15.7","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-66D85117","BODY","WING_SECOND1_F","Body measurements","Wing length (females) - secondary1","11.925","cm","11.09","12.76","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-66D85117","BODY","WING_SECOND1_M","Body measurements","Wing length (males) - secondary1","12.085","cm","11.9","12.27","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-66D85117","BODY","WING_SECOND1_U","Body measurements","Wing length (unknown) - secondary1","12.005","cm","11.09","12.76","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-66D85117","BODY","WING_U","Body measurements","Wing length (sex unknown)","14.725","cm","12.9","15.7","8","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
