"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-9F52DBB8","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","4.03","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9F52DBB8","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-17.17","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9F52DBB8","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-8.94","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9F52DBB8","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-71.65","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9F52DBB8","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9F52DBB8","DISTRIB","RANGE_SIZE","Species distribution","Total range size","779701.15","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9F52DBB8","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9F52DBB8","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9F52DBB8","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9F52DBB8","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9F52DBB8","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.38025","cm","0.37","0.42","8","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9F52DBB8","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.3974","cm","0.354","0.42","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9F52DBB8","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.387786","cm","0.354","0.42","14","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9F52DBB8","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","1.6375","cm","1.45","1.77","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9F52DBB8","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","1.71667","cm","1.52","1.84","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9F52DBB8","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","0.90675","cm","0.814","1","8","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9F52DBB8","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","0.896667","cm","0.85","0.928","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9F52DBB8","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","0.9056","cm","0.814","1","15","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9F52DBB8","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","1.675","cm","1.45","1.84","8","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9F52DBB8","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","0.388625","cm","0.37","0.42","8","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9F52DBB8","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","0.395","cm","0.36","0.426","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9F52DBB8","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.393857","cm","0.36","0.43","14","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9F52DBB8","BODY","MASS","Body measurements","Body mass","9.4","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9F52DBB8","BODY","TAIL_F","Body measurements","Tail length (females)","3.71325","cm","3.3","4","8","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9F52DBB8","BODY","TAIL_M","Body measurements","Tail length (males)","3.70417","cm","3.475","3.9","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9F52DBB8","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","3.7154","cm","3.3","4","15","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9F52DBB8","BODY","TARSUS_F","Body measurements","Tarsus length (females)","1.57625","cm","1.37","1.72","8","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9F52DBB8","BODY","TARSUS_M","Body measurements","Tarsus length (males)","1.57817","cm","1.43","1.697","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9F52DBB8","BODY","TARSUS_U","Body measurements","Tarsus length (sex unknown)","1.58793","cm","1.37","1.74","15","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9F52DBB8","BODY","WING_F","Body measurements","Wing length (females)","5.06112","cm","4.8","5.35","8","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9F52DBB8","BODY","WING_HWI_F","Body measurements","Hand-Wing Index (females)","44.7975","%","40","49","8","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9F52DBB8","BODY","WING_HWI_M","Body measurements","Hand-Wing Index (males)","45.5233","%","43.77","47.46","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9F52DBB8","BODY","WING_HWI_U","Body measurements","Hand-Wing Index (unknown)","45.068","%","40","49","15","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9F52DBB8","BODY","WING_KIPPS_F","Body measurements","Kipps distance (females)","0.624286","cm","0.45","0.8","7","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9F52DBB8","BODY","WING_KIPPS_M","Body measurements","Kipps distance (males)","0.616667","cm","0.53","0.74","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9F52DBB8","BODY","WING_KIPPS_U","Body measurements","Kipps distance (unknown)","0.624545","cm","0.45","0.8","11","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9F52DBB8","BODY","WING_M","Body measurements","Wing length (males)","5.1045","cm","5","5.2","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9F52DBB8","BODY","WING_SECOND1_F","Body measurements","Wing length (females) - secondary1","4.47975","cm","4","4.9","8","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9F52DBB8","BODY","WING_SECOND1_M","Body measurements","Wing length (males) - secondary1","4.55233","cm","4.377","4.746","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9F52DBB8","BODY","WING_SECOND1_U","Body measurements","Wing length (unknown) - secondary1","4.5068","cm","4","4.9","15","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9F52DBB8","BODY","WING_U","Body measurements","Wing length (sex unknown)","5.08107","cm","4.8","5.35","15","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
