"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-A7A6D5C5","DISTRIB","ANNUAL","Species distribution","Geographical range","Northwestern New Guinea : Arf ak ISIountains and coast of the Vogelkop between Amberbaki and Warbusi.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-A7A6D5C5","DISTRIB","ANNUAL","Species distribution","Geographical range","NW New Guinea (Arfak Mountains and coastal Vogelkop)","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-A7A6D5C5","DISTRIB","ANNUAL","Species distribution","Geographical range","Bird's Head (nw New Guinea)","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-A7A6D5C5","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-0.34","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A7A6D5C5","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-2.26","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A7A6D5C5","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-1.12","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A7A6D5C5","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","133.11","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A7A6D5C5","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A7A6D5C5","DISTRIB","RANGE_SIZE","Species distribution","Total range size","29156.11","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A7A6D5C5","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Semi-open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A7A6D5C5","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A7A6D5C5","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A7A6D5C5","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Frugivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A7A6D5C5","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.435","cm","0.42","0.45","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A7A6D5C5","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.45","cm","0.42","0.48","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A7A6D5C5","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","1.79","cm","1.57","2.01","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A7A6D5C5","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","0.96","cm","0.94","0.98","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A7A6D5C5","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","0.943333","cm","0.91","0.98","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A7A6D5C5","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","1.85667","cm","1.57","2.01","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A7A6D5C5","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","0.41","cm","0.36","0.46","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A7A6D5C5","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.4","cm","0.36","0.46","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A7A6D5C5","BODY","MASS","Body measurements","Body mass","163","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A7A6D5C5","BODY","TAIL_M","Body measurements","Tail length (males)","7.65","cm","7.1","8.2","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A7A6D5C5","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","7.16667","cm","6.2","8.2","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A7A6D5C5","BODY","TARSUS_M","Body measurements","Tarsus length (males)","2.315","cm","2.25","2.38","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A7A6D5C5","BODY","TARSUS_U","Body measurements","Tarsus length (sex unknown)","2.36333","cm","2.25","2.46","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A7A6D5C5","BODY","WING_HWI_M","Body measurements","Hand-Wing Index (males)","105.5","%","102","109","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A7A6D5C5","BODY","WING_HWI_U","Body measurements","Hand-Wing Index (unknown)","103.867","%","100.6","109","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A7A6D5C5","BODY","WING_KIPPS_M","Body measurements","Kipps distance (males)","4.5","cm","4","5","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
