"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-9B1B5FD8","DISTRIB","ANNUAL","Species distribution","Geographical range","West Africa from Sierra Leone to Gold Coast.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-9B1B5FD8","DISTRIB","ANNUAL","Species distribution","Geographical range","Sierra Leone east to Ghana/Togo border","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-9B1B5FD8","DISTRIB","ANNUAL","Species distribution","Geographical range","Sierra Leone to Ghana","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-9B1B5FD8","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","9.77","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9B1B5FD8","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","4.35","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9B1B5FD8","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","6.79","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9B1B5FD8","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-6.49","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9B1B5FD8","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9B1B5FD8","DISTRIB","RANGE_SIZE","Species distribution","Total range size","454445.83","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9B1B5FD8","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9B1B5FD8","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9B1B5FD8","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9B1B5FD8","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9B1B5FD8","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","1.18","cm","1.18","1.18","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9B1B5FD8","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","1.2075","cm","1.17","1.27","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9B1B5FD8","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","2.38","cm","2.38","2.38","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9B1B5FD8","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","1.51","cm","1.51","1.51","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9B1B5FD8","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","1.685","cm","1.51","1.76","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9B1B5FD8","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","2.515","cm","2.38","2.6","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9B1B5FD8","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","0.92","cm","0.92","0.92","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9B1B5FD8","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.885","cm","0.83","0.92","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9B1B5FD8","BODY","MASS","Body measurements","Body mass","76.1","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9B1B5FD8","BODY","TAIL_F","Body measurements","Tail length (females)","9.11","cm","9.11","9.11","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9B1B5FD8","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","9.5625","cm","9.11","9.9","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9B1B5FD8","BODY","TARSUS_F","Body measurements","Tarsus length (females)","2.82","cm","2.82","2.82","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9B1B5FD8","BODY","TARSUS_U","Body measurements","Tarsus length (sex unknown)","2.9025","cm","2.82","3.05","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9B1B5FD8","BODY","WING_F","Body measurements","Wing length (females)","10.19","cm","10.19","10.19","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9B1B5FD8","BODY","WING_HWI_F","Body measurements","Hand-Wing Index (females)","90.4","%","90.4","90.4","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9B1B5FD8","BODY","WING_HWI_U","Body measurements","Hand-Wing Index (unknown)","92.325","%","90.4","95.7","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9B1B5FD8","BODY","WING_KIPPS_F","Body measurements","Kipps distance (females)","1.15","cm","1.15","1.15","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9B1B5FD8","BODY","WING_KIPPS_U","Body measurements","Kipps distance (unknown)","1.185","cm","1.04","1.28","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9B1B5FD8","BODY","WING_SECOND1_F","Body measurements","Wing length (females) - secondary1","9.04","cm","9.04","9.04","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9B1B5FD8","BODY","WING_SECOND1_U","Body measurements","Wing length (unknown) - secondary1","9.2325","cm","9.04","9.57","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-9B1B5FD8","BODY","WING_U","Body measurements","Wing length (sex unknown)","10.4175","cm","10.19","10.61","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
