"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-DD219757","DISTRIB","ANNUAL","Species distribution","Geographical range","Northern Ryukyu Islands: Amami O Shima.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-DD219757","DISTRIB","ANNUAL","Species distribution","Geographical range","Amami-O-Shima I. (n Ryukyus)","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-DD219757","DISTRIB","ANNUAL","Species distribution","Geographical range","n Ryukyu Is. (Japan)","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-DD219757","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","28.52","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD219757","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","28.11","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD219757","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","28.31","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD219757","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","129.43","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD219757","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD219757","DISTRIB","RANGE_SIZE","Species distribution","Total range size","707.92","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD219757","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD219757","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD219757","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD219757","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD219757","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.88","cm","0.86","0.9","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD219757","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.915","cm","0.9","0.93","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD219757","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.8975","cm","0.86","0.93","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD219757","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","3.68","cm","3.47","3.89","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD219757","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","3.905","cm","3.87","3.94","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD219757","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","2.82","cm","2.61","3.03","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD219757","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","3.045","cm","3.02","3.07","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD219757","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","2.9325","cm","2.61","3.07","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD219757","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","3.7925","cm","3.47","3.94","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
