"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-94383EEF","DISTRIB","ANNUAL","Species distribution","Geographical range","Aus, Indon, NCal, PNG, Arden, Aureed, Boigu, Deliverance, Layoak, Massig, Saibai, Tudu, Yam, Yorke, Schildpad, New Guinea, Waigeo, Grande Terre, Aion, Alcester, Amphlett Group, Bagabag, Big Malu Malu, Bougainville, Buka, Crown, Daru, Daugo, Domori, Duke of York, Emira, Feni, Fergusson, Goodenough, Hermits, Itamarina, Kanawea, Karkar, Lihir, Lolobau, Long, Lou, Manus, Misima, Motupore, Mussau, Nalualuali, Nauna, New Britain, New Guinea, New Hanover, New Ireland, Nissan, Normanby, Panasia, Restorf, Reu, Rossel, San Miguel, Tabar, Tanga, Timor, Tingwon, Tolokiwa, Umboi, Veina, Vuatom, Witu, Woodlark, Wuvulu","","","","-1","www.birdsofmelanesia.net","http://www.birdsofmelanesia.net/"
"avibase-94383EEF","DISTRIB","ANNUAL","Species distribution","Geographical range","Coasts and islands of s Asia to Philippines and Australia","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-94383EEF","DISTRIB","ANNUAL","Species distribution","Geographical range","Coasts of India, Ceylon, Burma and the Malay Peninsula and through the entire Malay Archipelago to Australia, Tasmania and western Poly- nesia.^","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-94383EEF","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","26.38","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-94383EEF","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-43.64","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-94383EEF","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-9.12","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-94383EEF","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","123.68","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-94383EEF","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-94383EEF","DISTRIB","RANGE_SIZE","Species distribution","Total range size","5127370.7","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-94383EEF","DISTRIB","REALM","Species distribution","Realm","Australian","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-94383EEF","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-94383EEF","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Semi-open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
