"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-424F7705","DISTRIB","ANNUAL","Species distribution","Geographical range","Indon, PNG, Sol, New Guinea, Yapen, Bagabag, Duke of York, Fergusson, Goodenough, Hermits, Karkar, Lihir, Lolobau, New Britain, New Guinea, New Hanover, New Ireland, Sakar, Tabar, Tong, Umboi, Vuatom, Vulcan, Gizo, Guadalcanal, Makira, Vella Lavella","","","","-1","www.birdsofmelanesia.net","http://www.birdsofmelanesia.net/"
"avibase-424F7705","DISTRIB","ANNUAL","Species distribution","Geographical range","Australasia: New Guinea and some satellites, e Bismarck Arch. and Solomon Is.","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-424F7705","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-1.47","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-424F7705","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-10.85","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-424F7705","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-5.49","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-424F7705","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","142.8","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-424F7705","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-424F7705","DISTRIB","RANGE_SIZE","Species distribution","Total range size","647409.7","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-424F7705","DISTRIB","REALM","Species distribution","Realm","Australian","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-424F7705","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-424F7705","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-424F7705","HABITAT","DESCR","Habitat","Habitat description","rainforest, monsoon forest, secondary growth;lowlands, mountains-2400m","","","","","http://www.noord.bart.nl/~edcolijn/bird.html","http://www.noord.bart.nl/~edcolijn/bird.html"
"avibase-424F7705","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-424F7705","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-424F7705","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-424F7705","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Omnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-424F7705","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Omnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-424F7705","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.4132","cm","0.36","0.436","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-424F7705","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.4132","cm","0.36","0.436","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-424F7705","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","1.8444","cm","1.66","2.172","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-424F7705","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","0.965","cm","0.9","1.02","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-424F7705","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","0.965","cm","0.9","1.02","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-424F7705","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","1.8444","cm","1.66","2.172","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-424F7705","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","0.3392","cm","0.3","0.366","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-424F7705","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.3392","cm","0.3","0.366","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-424F7705","BODY","MASS","Body measurements","Body mass","135","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-424F7705","BODY","MASS","Body measurements","Body mass","136","g","135","137","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-424F7705","BODY","MASS_F","Body measurements","Body mass (females)","129","g","129","129","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-424F7705","BODY","MASS_M","Body measurements","Body mass (males)","145","g","145","145","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-424F7705","BODY","MASS_U","Body measurements","Body mass (sex unknown)","135","g","135","135","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-424F7705","BODY","TAIL_M","Body measurements","Tail length (males)","8.6","cm","7.5","10.1","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-424F7705","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","8.6","cm","7.5","10.1","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-424F7705","BODY","TARSUS_M","Body measurements","Tarsus length (males)","2.6908","cm","2.61","2.74","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-424F7705","BODY","TARSUS_U","Body measurements","Tarsus length (sex unknown)","2.6908","cm","2.61","2.74","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-424F7705","BODY","WING_HWI_M","Body measurements","Hand-Wing Index (males)","94.5","%","91","99","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-424F7705","BODY","WING_HWI_U","Body measurements","Hand-Wing Index (unknown)","94.5","%","91","99","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-424F7705","BODY","WING_KIPPS_M","Body measurements","Kipps distance (males)","4.975","cm","4.6","5.3","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-424F7705","BODY","WING_KIPPS_U","Body measurements","Kipps distance (unknown)","4.975","cm","4.6","5.3","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-424F7705","BODY","WING_M","Body measurements","Wing length (males)","14.42","cm","13.8","15.2","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-424F7705","BODY","WING_SECOND1_M","Body measurements","Wing length (males) - secondary1","9.45","cm","9.1","9.9","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-424F7705","BODY","WING_SECOND1_U","Body measurements","Wing length (unknown) - secondary1","9.45","cm","9.1","9.9","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-424F7705","BODY","WING_U","Body measurements","Wing length (sex unknown)","14.42","cm","13.8","15.2","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-424F7705","EGGS","MASS","Eggs","Egg mass","7.8","g","7.8","7.8","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-424F7705","REPROD","CLUTCHSZ","Reproduction","Clutch size","2","n","2","2","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
