"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-E0EE1B89","DISTRIB","ANNUAL","Species distribution","Geographical range","Liberia and the Gold Coast .^","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-E0EE1B89","DISTRIB","ANNUAL","Species distribution","Geographical range","Resident, dense rainforest: SE Sierra Leone - SW Ghana.","","","","-1","africanbirdclub.org","http://africanbirdclub.org/resources/checklist.html"
"avibase-E0EE1B89","DISTRIB","ANNUAL","Species distribution","Geographical range","SE Sierra Leone to Ivory Coast and w Ghana","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-E0EE1B89","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","7.79","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E0EE1B89","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","5.12","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E0EE1B89","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","6.42","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E0EE1B89","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-6.95","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E0EE1B89","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E0EE1B89","DISTRIB","RANGE_SIZE","Species distribution","Total range size","68753.37","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E0EE1B89","DISTRIB","REALM","Species distribution","Realm","Afrotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-E0EE1B89","RANGE","RESTRICTED","Range and population size","Has restricted range?","Y","","","","-1","Birdlife's Worldbird Database",""
"avibase-E0EE1B89","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E0EE1B89","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E0EE1B89","HABITAT","DESCR","Habitat","Habitat description","dense primary rain forest with preference for drier areas;also found in nearby patches of selectively logged forest, especially older regrowth;lowlands;58K plus birds","","","","","Sibley 1996",""
"avibase-E0EE1B89","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Omnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-E0EE1B89","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Omnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E0EE1B89","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Omnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E0EE1B89","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Omnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-E0EE1B89","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","1.23","cm","1.23","1.23","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E0EE1B89","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","1.059","cm","1.008","1.11","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E0EE1B89","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","1.0796","cm","1","1.23","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E0EE1B89","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","2.83","cm","2.83","2.83","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E0EE1B89","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","2.5","cm","1.79","3.21","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E0EE1B89","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","1.49","cm","1.49","1.49","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E0EE1B89","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","1.8","cm","1.8","1.8","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E0EE1B89","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","1.525","cm","1.31","1.8","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E0EE1B89","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","2.686","cm","1.79","3.21","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E0EE1B89","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","1","cm","1","1","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-E0EE1B89","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","0.9745","cm","0.97","0.979","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
