"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-D2F97D13","DISTRIB","ANNUAL","Species distribution","Geographical range","South America, North America: Widespread in South America and Caribbean","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-D2F97D13","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","27.23","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D2F97D13","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-40.02","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D2F97D13","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-21.2","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D2F97D13","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-62.22","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D2F97D13","DISTRIB","MIGRATION","Species distribution","Migration strategy","Partially migratory","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D2F97D13","DISTRIB","RANGE_SIZE","Species distribution","Total range size","2991584.7","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D2F97D13","DISTRIB","REALM","Species distribution","Realm","Neotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-D2F97D13","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-D2F97D13","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D2F97D13","HABITAT","DESCR","Habitat","Habitat description","Wetland","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D2F97D13","HABITAT","DESCR","Habitat","Habitat description","Freshwater Marshes, Coastal Saltwater Marshes, Freshwater Lakes and Ponds, Alkaline Lakes, Coastal Waters, sometimes foraging in cultivated fields. ","","","","","AOU Checklist","http://www.aou.org/checklist/north/print.php"
"avibase-D2F97D13","HABITAT","DESCR","Habitat","Habitat description","lagoons, mangrove swamps, tidal creeks, shallowfresh pools;lowl-4100m","","","","","Sibley 1996",""
"avibase-D2F97D13","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Herbivore aquatic surface","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-D2F97D13","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Omnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-D2F97D13","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Omnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D2F97D13","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Herbivore aquatic","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D2F97D13","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Herbivore aquatic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-D2F97D13","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","1.24","cm","1.24","1.24","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D2F97D13","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","1.28667","cm","1.21","1.41","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D2F97D13","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","1.275","cm","1.21","1.41","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D2F97D13","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","4.16","cm","4.16","4.16","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D2F97D13","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","4.14667","cm","4.12","4.19","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D2F97D13","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","3.13","cm","3.13","3.13","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D2F97D13","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","3.19333","cm","3.17","3.21","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D2F97D13","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","3.1775","cm","3.13","3.21","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D2F97D13","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","4.15","cm","4.12","4.19","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D2F97D13","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","1.19","cm","1.19","1.19","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D2F97D13","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","1.60333","cm","1.51","1.67","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D2F97D13","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","1.5","cm","1.19","1.67","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D2F97D13","BODY","MASS","Body measurements","Body mass","489.97","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D2F97D13","BODY","MASS","Body measurements","Body mass","532.5","g","437.5","710","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-D2F97D13","BODY","MASS_F","Body measurements","Body mass (females)","543.25","g","502","569","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-D2F97D13","BODY","MASS_F","Body measurements","Body mass (females)","569","grams","","","","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-D2F97D13","BODY","MASS_M","Body measurements","Body mass (males)","503","grams","","","","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-D2F97D13","BODY","MASS_M","Body measurements","Body mass (males)","518.25","g","503","535","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-D2F97D13","BODY","MASS_U","Body measurements","Body mass (sex unknown)","438","g","437.5","569","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-D2F97D13","BODY","SVL","Body measurements","Snout-to-vent length (adults)","44.5","cm","44.5","44.5","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-D2F97D13","BODY","TAIL_F","Body measurements","Tail length (females)","7","cm","7","7","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D2F97D13","BODY","TAIL_M","Body measurements","Tail length (males)","9.3","cm","8.4","10","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D2F97D13","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","8.725","cm","7","10","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D2F97D13","BODY","TARSUS_F","Body measurements","Tarsus length (females)","3","cm","3","3","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D2F97D13","BODY","TARSUS_M","Body measurements","Tarsus length (males)","3.55","cm","3.45","3.7","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D2F97D13","BODY","TARSUS_U","Body measurements","Tarsus length (sex unknown)","3.4125","cm","3","3.7","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D2F97D13","BODY","WING_F","Body measurements","Wing length (females)","19.8","cm","19.8","19.8","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D2F97D13","BODY","WING_HWI_F","Body measurements","Hand-Wing Index (females)","106.4","%","106.4","106.4","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D2F97D13","BODY","WING_HWI_M","Body measurements","Hand-Wing Index (males)","115.5","%","106","128.5","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D2F97D13","BODY","WING_HWI_U","Body measurements","Hand-Wing Index (unknown)","113.225","%","106","128.5","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D2F97D13","BODY","WING_KIPPS_F","Body measurements","Kipps distance (females)","9.16","cm","9.16","9.16","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D2F97D13","BODY","WING_KIPPS_M","Body measurements","Kipps distance (males)","9.25","cm","8.45","10.6","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D2F97D13","BODY","WING_KIPPS_U","Body measurements","Kipps distance (unknown)","9.2275","cm","8.45","10.6","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D2F97D13","BODY","WING_M","Body measurements","Wing length (males)","20.8","cm","19.9","21.3","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D2F97D13","BODY","WING_SECOND1_F","Body measurements","Wing length (females) - secondary1","10.64","cm","10.64","10.64","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D2F97D13","BODY","WING_SECOND1_M","Body measurements","Wing length (males) - secondary1","11.55","cm","10.6","12.85","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D2F97D13","BODY","WING_SECOND1_U","Body measurements","Wing length (unknown) - secondary1","11.3225","cm","10.6","12.85","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D2F97D13","BODY","WING_U","Body measurements","Wing length (sex unknown)","20.55","cm","19.8","21.3","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D2F97D13","EGGS","MASS","Eggs","Egg mass","34","g","34","40.5","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-D2F97D13","EGGS","MASS","Eggs","Egg mass","34","grams","","","","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-D2F97D13","REPROD","CLUTCHSZ","Reproduction","Clutch size","8.05","n","7","9","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-D2F97D13","REPROD","FREQ","Reproduction","Number of breeding attempts per year","1","n/year","1","1","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-D2F97D13","REPROD","INCUBATION","Reproduction","Incubation period","25.5","days","25.5","25.5","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-D2F97D13","SURVIVAL","MAXAGE","Survival","Maximum age","6.25","years","6.2","6.25","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-D2F97D13","SURVIVAL","MEAN","Survival","Average survival","6.225","years","","","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
