"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-D1E3DE2E","DISTRIB","ANNUAL","Species distribution","Geographical range","Known only from a single specimen from Mayau, nw Zambia","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-D1E3DE2E","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-12.54","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D1E3DE2E","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-13.12","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D1E3DE2E","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-12.83","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D1E3DE2E","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","24.41","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D1E3DE2E","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D1E3DE2E","DISTRIB","RANGE_SIZE","Species distribution","Total range size","4084.19","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D1E3DE2E","DISTRIB","REALM","Species distribution","Realm","Afrotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-D1E3DE2E","RANGE","RESTRICTED","Range and population size","Has restricted range?","Y","","","","-1","Birdlife's Worldbird Database",""
"avibase-D1E3DE2E","HABITAT","ALT","Habitat","Altitude","","m","1150","1150","-1","Birdlife's Worldbird Database",""
"avibase-D1E3DE2E","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D1E3DE2E","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D1E3DE2E","HABITAT","DESCR","Habitat","Habitat description","Cryptosepalum aka mavunda thickets","","","","","Sibley 1996",""
"avibase-D1E3DE2E","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Fugivore glean","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-D1E3DE2E","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-D1E3DE2E","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D1E3DE2E","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Frugivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D1E3DE2E","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Frugivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-D1E3DE2E","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.52","cm","0.52","0.52","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D1E3DE2E","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.52","cm","0.52","0.52","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D1E3DE2E","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","1.04","cm","1.04","1.04","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D1E3DE2E","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","0.76","cm","0.76","0.76","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D1E3DE2E","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","0.76","cm","0.76","0.76","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D1E3DE2E","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","1.04","cm","1.04","1.04","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D1E3DE2E","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","0.5","cm","0.5","0.5","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D1E3DE2E","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.5","cm","0.5","0.5","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D1E3DE2E","BODY","MASS","Body measurements","Body mass","13.1","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D1E3DE2E","BODY","TAIL_M","Body measurements","Tail length (males)","2.7","cm","2.7","2.7","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-D1E3DE2E","BODY","TAIL_U","Body measurements","Tail length (sex unknown)","2.7","cm","2.7","2.7","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
