"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-DD7C4C78","DISTRIB","ANNUAL","Species distribution","Geographical range","Highlands of central and eastern Ethiopia south to Arussi-Gallaland and the Omo River region.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-DD7C4C78","DISTRIB","ANNUAL","Species distribution","Geographical range","Resident above 1800m asl in variety of habitats near cliffs and rocks: Ethiopian highlands.","","","","-1","africanbirdclub.org","http://africanbirdclub.org/resources/checklist.html"
"avibase-DD7C4C78","DISTRIB","ANNUAL","Species distribution","Geographical range","Highlands of Ethiopia and Eritrea","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-DD7C4C78","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","14.95","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD7C4C78","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","5.98","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD7C4C78","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","9.94","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD7C4C78","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","38.63","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD7C4C78","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD7C4C78","DISTRIB","RANGE_SIZE","Species distribution","Total range size","137598.58","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD7C4C78","DISTRIB","REALM","Species distribution","Realm","Afrotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-DD7C4C78","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-DD7C4C78","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Semi-open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD7C4C78","HABITAT","DESCR","Habitat","Habitat description","Grassland","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD7C4C78","HABITAT","DESCR","Habitat","Habitat description","cliffs, rocks, buildings;highlands 1800-4100m","","","","","Sibley 1996",""
"avibase-DD7C4C78","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Granivore ground","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-DD7C4C78","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-DD7C4C78","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD7C4C78","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Granivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD7C4C78","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Granivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-DD7C4C78","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.502667","cm","0.48","0.528","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD7C4C78","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.585","cm","0.57","0.6","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD7C4C78","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.5356","cm","0.48","0.6","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD7C4C78","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","2.05167","cm","1.96","2.155","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD7C4C78","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","2.165","cm","2.11","2.22","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD7C4C78","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","1.04","cm","1.01","1.07","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD7C4C78","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","1.065","cm","1.04","1.09","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD7C4C78","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","1.0525","cm","1.01","1.09","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD7C4C78","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","2.097","cm","1.96","2.22","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD7C4C78","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","0.446333","cm","0.399","0.47","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD7C4C78","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","0.465","cm","0.44","0.49","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD7C4C78","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.4538","cm","0.399","0.49","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD7C4C78","BODY","MASS","Body measurements","Body mass","277","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-DD7C4C78","BODY","MASS","Body measurements","Body mass","277","g","277","277","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-DD7C4C78","BODY","MASS_F","Body measurements","Body mass (females)","262","g","262","262","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-DD7C4C78","BODY","MASS_F","Body measurements","Body mass (females)","262","grams","","","1","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-DD7C4C78","BODY","MASS_M","Body measurements","Body mass (males)","292","grams","","","1","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-DD7C4C78","BODY","MASS_M","Body measurements","Body mass (males)","292","g","292","292","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-DD7C4C78","BODY","MASS_U","Body measurements","Body mass (sex unknown)","277","g","277","277","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-DD7C4C78","BODY","TAIL_F","Body measurements","Tail length (females)","9","cm","","","7","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
