"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-72A83836","DISTRIB","ANNUAL","Species distribution","Geographical range","North America, Central America, South America: sw USA to c Argentina","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-72A83836","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","29.69","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-72A83836","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-40.32","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-72A83836","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-11.82","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-72A83836","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-58.97","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-72A83836","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-72A83836","DISTRIB","RANGE_SIZE","Species distribution","Total range size","9466789.11","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-72A83836","DISTRIB","REALM","Species distribution","Realm","Neotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-72A83836","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-72A83836","HABITAT","ALT","Habitat","Altitude","","m","","2200","-1","Birdlife's Worldbird Database",""
"avibase-72A83836","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-72A83836","HABITAT","DESCR","Habitat","Habitat description","Low Seasonally Wet Grassland, Arid Lowland Scrub, Arid Montane Scrub, Second-growth Scrub, lowland pine savanna (0-2200 m; Tropical and Subtropical zones). ","","","","","AOU Checklist","http://www.aou.org/checklist/north/print.php"
"avibase-72A83836","HABITAT","DESCR","Habitat","Habitat description","plains, eroded hills, open woods, plantations;lowlands-2000m","","","","","Sibley 1996",""
"avibase-72A83836","HABITAT","DESCR","Habitat","Habitat description","Grassland","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-72A83836","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Generalist","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-72A83836","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
