"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-98C7BE23","DISTRIB","ANNUAL","Species distribution","Geographical range","Eastern Texas and western Oklahoma to southeastern Missouri, eastern Kentucky and central Pennsylvania, south to the Gulf Coast and northern Florida. Formerly extending west and north to Nebraska, Kansas, South Dakota, southwestern Ontario and southern Maine.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-98C7BE23","DISTRIB","ANNUAL","Species distribution","Geographical range","Central and e US","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-98C7BE23","DISTRIB","ANNUAL","Species distribution","Geographical range","s Canada and c, e USA","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-98C7BE23","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","3.13","mm","","","6","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-98C7BE23","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","3.47999999999999","mm","","","18","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-98C7BE23","BODY","MASS_F","Body measurements","Body mass (females)","4222","grams","","","","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-98C7BE23","BODY","MASS_M","Body measurements","Body mass (males)","7400","grams","","","","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-98C7BE23","BODY","TAIL_F","Body measurements","Tail length (females)","31.6399999999999","mm","","","5","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-98C7BE23","BODY","TAIL_M","Body measurements","Tail length (males)","37.25","mm","","","2","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-98C7BE23","BODY","TARSUS_F","Body measurements","Tarsus length (females)","13.0599999999999","mm","","","7","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-98C7BE23","BODY","TARSUS_M","Body measurements","Tarsus length (males)","13.68","mm","","","6","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-98C7BE23","BODY","WING_F","Body measurements","Wing length (females)","41.7","mm","","","7","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-98C7BE23","BODY","WING_M","Body measurements","Wing length (males)","51.1","mm","","","17","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-98C7BE23","EGGS","MASS","Eggs","Egg mass","78.8","grams","","","","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-98C7BE23","REPROD","CLUTCHSZ","Reproduction","Clutch size","10.52","","","","","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-98C7BE23","REPROD","DISPLAY","Reproduction","Mating displays","ground displays only, including displays on trees and bushes","","","","","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-98C7BE23","REPROD","SYSTEM","Reproduction","Reproductive system","lek or promiscuous","","","","","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
