"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-50E2CC40","DISTRIB","ANNUAL","Species distribution","Geographical range","Eastern Bolivia, Matto Grosso, Paraguay, and northern Argentina in provinces of Jujuy and Misiones.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-50E2CC40","DISTRIB","ANNUAL","Species distribution","Geographical range","NE Bolivia to Paraguay, sw Brazil and n Argentina","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-50E2CC40","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-8.16","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-50E2CC40","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-24.41","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-50E2CC40","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-16.31","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-50E2CC40","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-60.21","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-50E2CC40","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-50E2CC40","DISTRIB","RANGE_SIZE","Species distribution","Total range size","838451.74","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-50E2CC40","DISTRIB","REALM","Species distribution","Realm","Neotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-50E2CC40","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-50E2CC40","HABITAT","ALT","Habitat","Altitude","","m","","600","-1","Birdlife's Worldbird Database",""
"avibase-50E2CC40","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Semi-open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-50E2CC40","HABITAT","DESCR","Habitat","Habitat description","Woodland","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-50E2CC40","HABITAT","DESCR","Habitat","Habitat description","forest, swamplands, palm groves","","","","","Sibley 1996",""
"avibase-50E2CC40","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-50E2CC40","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-50E2CC40","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Omnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-50E2CC40","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Omnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-50E2CC40","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","3.525","cm","3.3","3.75","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-50E2CC40","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","3.895","cm","3.84","3.95","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-50E2CC40","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","3.71","cm","3.3","3.95","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-50E2CC40","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","3.385","cm","3.33","3.44","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
