"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-C6772490","DISTRIB","ANNUAL","Species distribution","Geographical range","North America, Central America, South America: e USA to Peru and e Brazil","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-C6772490","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","45.87","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C6772490","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-30.98","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C6772490","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","20.21","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C6772490","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-82.71","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C6772490","DISTRIB","MIGRATION","Species distribution","Migration strategy","Partially migratory","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C6772490","DISTRIB","RANGE_SIZE","Species distribution","Total range size","4196603.05","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C6772490","DISTRIB","REALM","Species distribution","Realm","Neotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-C6772490","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-C6772490","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C6772490","HABITAT","DESCR","Habitat","Habitat description","Coastal","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C6772490","HABITAT","DESCR","Habitat","Habitat description","Primarily wooded wetlands, especially swamps, lakes, lagoons, and mangroves; sometimes nests in wooded suburbs (Tropical to lower Temperate zones). ","","","","","AOU Checklist","http://www.aou.org/checklist/north/print.php"
"avibase-C6772490","HABITAT","DESCR","Habitat","Habitat description","marshes, swampy forest, lakes, lagoons, mangroves;lowlands","","","","","Sibley 1996",""
"avibase-C6772490","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Aquatic ground","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-C6772490","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-C6772490","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C6772490","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Aquatic predator","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C6772490","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Aquatic predator","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-C6772490","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","2.06","cm","2.04","2.08","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C6772490","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","2.17","cm","2.11","2.23","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C6772490","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","2.115","cm","2.04","2.23","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C6772490","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","7.54","cm","7.51","7.57","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-C6772490","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","7","cm","","","22","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
