"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-CBBA6CB0","DISTRIB","ANNUAL","Species distribution","Geographical range","Asia: widespread","","","","","IOC 12.1","http://www.worldbirdnames.org/"
"avibase-CBBA6CB0","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","34.74","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CBBA6CB0","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","6.73","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CBBA6CB0","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","22.56","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CBBA6CB0","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","78.46","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CBBA6CB0","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CBBA6CB0","DISTRIB","RANGE_SIZE","Species distribution","Total range size","2815279.67","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CBBA6CB0","DISTRIB","REALM","Species distribution","Realm","Indo_Malay","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-CBBA6CB0","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-CBBA6CB0","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Semi-open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CBBA6CB0","HABITAT","DESCR","Habitat","Habitat description","Woodland","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CBBA6CB0","HABITAT","DESCR","Habitat","Habitat description","dry woodland, desert scrub, second growth, bamboo;lowlands-2000m","","","","","Sibley 1996",""
"avibase-CBBA6CB0","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Invertivore bark","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-CBBA6CB0","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-CBBA6CB0","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CBBA6CB0","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CBBA6CB0","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-CBBA6CB0","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.565","cm","0.55","0.58","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CBBA6CB0","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.686","cm","0.62","0.728","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CBBA6CB0","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.6376","cm","0.55","0.728","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CBBA6CB0","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","2.24","cm","2.18","2.3","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CBBA6CB0","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","2.51333","cm","2.38","2.73","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CBBA6CB0","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","1.77","cm","1.72","1.82","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CBBA6CB0","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","1.945","cm","1.89","2","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CBBA6CB0","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","1.8575","cm","1.72","2","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CBBA6CB0","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","2.404","cm","2.18","2.73","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CBBA6CB0","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","0.585","cm","0.58","0.59","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-CBBA6CB0","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","0.608333","cm","0.59","0.62","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
