"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-EA9E9A2D","DISTRIB","ANNUAL","Species distribution","Geographical range","Southeastern Brazil in states of Minas Gerais, Espirito Santo and Rio de Janeiro.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-EA9E9A2D","DISTRIB","ANNUAL","Species distribution","Geographical range","Lowlands of se Brazil (se Bahia to Rio de Janeiro)","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-EA9E9A2D","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-13.89","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-EA9E9A2D","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-23.08","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-EA9E9A2D","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-19.53","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-EA9E9A2D","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-41.83","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-EA9E9A2D","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-EA9E9A2D","DISTRIB","RANGE_SIZE","Species distribution","Total range size","253876.59","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-EA9E9A2D","DISTRIB","REALM","Species distribution","Realm","Neotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-EA9E9A2D","RANGE","RESTRICTED","Range and population size","Has restricted range?","Y","","","","-1","Birdlife's Worldbird Database",""
"avibase-EA9E9A2D","HABITAT","ALT","Habitat","Altitude","","m","","1300","-1","Birdlife's Worldbird Database",""
"avibase-EA9E9A2D","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Semi-open habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-EA9E9A2D","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-EA9E9A2D","HABITAT","DESCR","Habitat","Habitat description","forest;lowlands","","","","","Sibley 1996",""
"avibase-EA9E9A2D","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Invertivore bark","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-EA9E9A2D","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-EA9E9A2D","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-EA9E9A2D","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-EA9E9A2D","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-EA9E9A2D","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.67","cm","0.62","0.72","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-EA9E9A2D","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.638333","cm","0.595","0.66","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-EA9E9A2D","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.651","cm","0.595","0.72","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-EA9E9A2D","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","2.29","cm","2.25","2.33","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-EA9E9A2D","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","2.33433","cm","2.293","2.4","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-EA9E9A2D","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","1.81","cm","1.78","1.84","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
